m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minrandomSolvercmax,openrandomSolvercmax,meanrandomSolvercmax,closedrandomSolvercmax,maxrandomSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minrandomSolverTime,openrandomSolverTime,meanrandomSolverTime,closedrandomSolverTime,maxrandomSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,dealGift,nbPropose,nbAccept,nbReject,nbWithdraw,nbConfirm,nbInform
45,225,161.0,194.0,211.0,227.0,296.0,146.0,176.0,193.0,207.0,302.0,4502.0,5388.0,5785.0,6323.0,7777.0,3779.0,4634.0,5013.0,5529.0,6850.0,9.47441938E8,1.262523709E9,1.465134501E9,1.625585426E9,2.402197451E9,2.54534787E9,3.002834191E9,3.22519986E9,3.494943432E9,3.4599612074E10,67194.0,85484.0,93140.0,96242.0,619869.0,3.61022004E8,2.435883385E9,1.0935001012E10,3.1235624647E10,5.18387974211E11,2655172.0,3282303.0,3464077.0,3796537.0,2.2392155E7,740470.0,956224.0,1114182.0,956224.0,1.6597619E7,599.6,3529.6, 1604.32, 659.68, 569.79, 1034.33, 0.0
46,230,140.0,191.0,206.0,223.0,313.0,144.0,179.0,190.0,207.0,279.0,4294.0,5100.0,5693.0,6332.0,7766.0,3769.0,4700.0,4989.0,5390.0,6388.0,9.437959E8,1.559194083E9,1.819254861E9,2.0628807E9,3.719092537E9,2.501372307E9,3.093701065E9,3.360463652E9,3.545438643E9,4.5298159133E10,69480.0,91995.0,100209.0,116695.0,313747.0,4.16841619E8,1.050998102E9,1.2295173236E10,4.1092880219E10,5.57388363617E11,2825794.0,3587043.0,3816203.0,4354056.0,3.0709227E7,735625.0,945359.0,1173732.0,945359.0,1883543.0,621.01,3892.43, 1676.11, 683.39, 619.48, 1056.46, 0.0
47,235,164.0,187.0,201.0,225.0,294.0,140.0,171.0,180.0,198.0,255.0,4087.0,5166.0,5807.0,6651.0,8937.0,4045.0,4523.0,4866.0,5295.0,7175.0,1.232165127E9,1.780998147E9,2.055925641E9,2.291836423E9,2.767005447E9,2.544773733E9,3.277329706E9,3.470502346E9,3.739288565E9,5.6988765492E10,69433.0,100859.0,108677.0,117109.0,277380.0,4.22836212E8,3.412317845E9,2.1624841934E10,4.787587516E10,6.29023480579E11,3068685.0,3955961.0,4224361.0,4621691.0,1.0913513E7,753899.0,1069314.0,1268519.0,1069314.0,2194005.0,637.84,4303.06, 1732.28, 710.9, 635.05, 1097.08, 0.0
