m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
64,320,278.0,332.0,371.0,391.0,440.0,278.0,329.0,375.0,391.0,450.0,238.0,281.0,314.0,336.0,380.0,275.0,330.0,367.0,383.0,438.0,292.0,347.0,395.0,412.0,468.0,9.45132538E8,1.133188864E9,1.259529254E9,1.40091905E9,1.876251807E9,1.59133423E8,1.87281561E8,2.12542812E8,2.29327966E8,3.17147426E8,1.4403173297E10,1.6298927429E10,1.7456633201E10,1.9474767293E10,2.4172108224E10,1.75432424E8,2.36191959E8,2.86590757E8,3.59821363E8,5.65815505E8,1.6828017E7,1.8332204E7,1.8656968E7,1.9518654E7,2.3062943E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.9,352.75,320.65,252.8,0.0,77.35,175.45,1.2,76.15,0.0,0.0,329.7,42.15,103.7,226.0,10.8,66.05,26.85,0.0
66,330,267.0,326.0,376.0,414.0,506.0,267.0,329.0,369.0,414.0,510.0,231.0,280.0,311.0,350.0,439.0,266.0,327.0,369.0,414.0,502.0,282.0,338.0,394.0,434.0,535.0,1.064417222E9,1.115255759E9,1.169692992E9,1.481635749E9,1.655107108E9,1.29830218E8,1.83162111E8,2.1572391E8,2.51010117E8,3.20483774E8,1.6091278044E10,1.8035064249E10,1.9951004641E10,2.2589900488E10,2.5731056842E10,1.97063429E8,2.54474107E8,2.991654E8,3.41466947E8,4.10458203E8,1.9028732E7,1.9402714E7,1.9747585E7,1.9957908E7,2.2774488E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4,365.15,334.45,253.65,0.0,74.1,179.55,2.9,71.2,0.0,0.0,318.55,43.65,102.15,216.4,9.75,64.65,27.75,0.0
68,340,286.0,371.0,383.0,425.0,482.0,287.0,372.0,383.0,421.0,483.0,243.0,316.0,329.0,360.0,408.0,283.0,369.0,382.0,424.0,477.0,300.0,394.0,406.0,447.0,496.0,1.000361128E9,1.356937389E9,1.501040807E9,1.661260274E9,1.984532083E9,1.7666229E8,2.14404595E8,2.35477918E8,2.74958644E8,2.9428069E8,1.7514342843E10,2.01981659E10,2.2533995225E10,2.4318246161E10,3.042050308E10,1.98941692E8,2.69828702E8,3.23618063E8,3.82978875E8,4.71321522E8,1.7964933E7,2.0598229E7,2.091201E7,2.1018887E7,2.2633507E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.5,391.15,358.05,261.1,0.0,81.2,179.9,2.15,79.05,0.0,0.0,326.7,44.3,109.05,217.65,9.95,70.8,28.3,0.0
70,350,290.0,348.0,377.0,413.0,540.0,291.0,348.0,378.0,416.0,540.0,248.0,295.0,313.0,352.0,461.0,293.0,348.0,370.0,413.0,519.0,305.0,367.0,386.0,429.0,552.0,1.201879142E9,1.524442478E9,1.685283441E9,1.962091612E9,2.170232388E9,1.71952707E8,2.05200497E8,2.23519512E8,2.63341E8,3.47158879E8,1.7756333565E10,2.1227701546E10,2.2460786241E10,2.4308898292E10,2.7115183404E10,2.32604364E8,2.96680061E8,3.44015854E8,3.97466745E8,4.77997537E8,1.8858497E7,2.1922654E7,2.2123479E7,2.2978292E7,3.3430469E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.2,385.85,352.85,257.1,0.0,81.35,175.75,1.8,79.55,0.0,0.0,307.5,40.95,105.15,202.35,5.95,71.25,27.95,0.0
72,360,290.0,370.0,404.0,453.0,502.0,289.0,373.0,404.0,456.0,501.0,248.0,321.0,343.0,388.0,426.0,293.0,372.0,402.0,448.0,495.0,313.0,394.0,431.0,474.0,533.0,1.330794811E9,1.557142616E9,1.829556191E9,2.106963037E9,2.384411908E9,1.84972391E8,2.42366056E8,2.65792821E8,3.15209613E8,4.05485848E8,2.0230408416E10,2.2793253038E10,2.4545667921E10,2.734512839E10,3.5613393288E10,2.79726767E8,3.26758269E8,3.45713941E8,4.10782905E8,6.65378364E8,2.1566119E7,2.3712984E7,2.5293774E7,2.966034E7,3.9264802E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.1,401.9,370.2,282.45,0.0,84.1,198.35,2.65,81.45,0.0,0.0,342.05,45.7,114.3,227.75,7.3,72.5,34.5,0.0
74,370,302.0,319.0,358.0,402.0,477.0,298.0,324.0,358.0,402.0,461.0,252.0,275.0,303.0,347.0,391.0,297.0,319.0,355.0,402.0,459.0,319.0,340.0,374.0,426.0,502.0,1.3848448E9,1.797640967E9,2.009220385E9,2.108554606E9,2.786506508E9,2.10907745E8,2.44033403E8,2.72456433E8,3.96736786E8,4.66371254E8,2.4703755065E10,2.7517462393E10,2.9509731898E10,3.0930611514E10,3.4514255207E10,2.62508867E8,3.2188057E8,3.91702746E8,4.87816605E8,6.631932E8,2.1451699E7,2.4958527E7,2.5607046E7,2.742504E7,3.6810277E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4,425.8,386.2,291.6,0.0,90.65,200.95,2.9,87.75,0.0,0.0,391.4,47.65,121.1,270.3,12.95,78.0,30.15,0.0
76,380,297.0,356.0,379.0,409.0,493.0,300.0,351.0,380.0,409.0,493.0,252.0,294.0,322.0,342.0,422.0,295.0,354.0,375.0,409.0,493.0,312.0,375.0,400.0,430.0,518.0,1.694299568E9,2.038216413E9,2.126174662E9,2.557254928E9,2.848915626E9,2.36565459E8,2.76534229E8,3.11249117E8,3.63876564E8,4.5091408E8,2.4138320055E10,3.0830569328E10,3.3244797039E10,3.5793401571E10,3.9817069533E10,2.67023007E8,3.4252308E8,3.85750869E8,4.53057283E8,7.07862749E8,2.3525833E7,2.6635397E7,2.7159906E7,3.4549952E7,4.3825049E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.5,441.85,402.85,286.1,0.0,86.95,199.15,2.55,84.4,0.0,0.0,384.95,50.8,120.45,264.5,10.25,79.55,30.65,0.0
78,390,321.0,356.0,384.0,401.0,434.0,323.0,356.0,385.0,401.0,434.0,275.0,303.0,331.0,341.0,372.0,319.0,355.0,380.0,400.0,431.0,337.0,368.0,405.0,424.0,454.0,1.599623783E9,2.114501795E9,2.243149183E9,2.770554329E9,3.258689933E9,2.26862996E8,2.77787312E8,3.25030181E8,4.10030042E8,5.66614925E8,2.6036763047E10,2.9205589973E10,3.148006877E10,3.4644955285E10,3.7349208009E10,2.70629331E8,3.47349389E8,4.03988001E8,4.98772978E8,6.58656787E8,2.4476361E7,2.786812E7,2.8175843E7,3.0259834E7,5.566833E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,442.2,405.1,296.45,0.0,89.35,207.1,3.3,86.05,0.0,0.0,346.2,48.4,118.55,227.65,6.2,78.5,33.85,0.0
80,400,276.0,354.0,376.0,400.0,511.0,277.0,356.0,376.0,400.0,517.0,234.0,301.0,323.0,346.0,433.0,275.0,356.0,373.0,397.0,514.0,290.0,371.0,403.0,418.0,534.0,2.15214564E9,2.259290421E9,2.494032529E9,2.74679665E9,3.444110645E9,2.72545281E8,3.14466591E8,3.53754238E8,3.8117015E8,5.20621232E8,2.8962543775E10,3.2443478736E10,3.6522644184E10,3.8818001849E10,4.5063619487E10,3.31690762E8,3.97629952E8,4.5968771E8,5.00284804E8,5.86498275E8,2.5581637E7,2.9244713E7,2.9555622E7,3.0624033E7,3.3646602E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.3,462.35,422.35,318.1,0.0,98.2,219.9,3.05,95.15,0.0,0.0,399.85,49.85,128.85,271.0,10.5,84.1,34.25,0.0
82,410,294.0,340.0,384.0,428.0,461.0,294.0,342.0,383.0,431.0,465.0,247.0,291.0,326.0,365.0,390.0,296.0,337.0,383.0,418.0,461.0,309.0,366.0,412.0,451.0,478.0,1.911332865E9,2.299890832E9,2.580206175E9,3.192898101E9,3.693437214E9,2.74373936E8,3.60984046E8,3.91578297E8,4.2678681E8,4.85859342E8,3.0647637304E10,3.4428010621E10,3.7474631617E10,3.9658199824E10,5.0771223274E10,3.82472202E8,4.84066082E8,5.54997898E8,6.11613151E8,8.55479589E8,3.001648E7,3.1062951E7,3.1247542E7,3.2304588E7,4.0801214E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.3,457.15,418.85,356.85,0.0,103.35,253.5,5.6,97.75,0.0,0.0,419.05,56.55,141.15,277.9,10.1,92.65,38.4,0.0
