m,n,minGiftSolverflowtime,openGiftSolverflowtime,meanGiftSolverflowtime,closedGiftSolverflowtime,maxGiftSolverflowtime,minDistributedGiftSolverflowtime,openDistributedGiftSolverflowtime,meanDistributedGiftSolverflowtime,closedDistributedGiftSolverflowtime,maxDistributedGiftSolverflowtime,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minRefSolverflowtime,openRefSolverflowtime,meanRefSolverflowtime,closedRefSolverflowtime,maxRefSolverflowtime,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
42,210,106.75238095238095,118.84285714285714,123.74761904761905,128.92380952380952,136.56666666666666,127.34285714285714,138.7095238095238,147.15714285714284,155.22857142857143,180.98095238095237,101.3047619047619,111.34761904761905,117.18571428571428,121.68095238095238,128.94285714285715,120.8952380952381,138.53333333333333,146.87142857142857,155.63809523809525,179.72380952380954,100.23333333333333,109.92380952380952,115.80952380952381,120.57142857142857,127.58571428571429,7.01380185E8,8.5288778E8,8.95902232E8,9.36188491E8,1.082949616E9,1.35999098E8,2.49683928E8,3.09618374E8,3.69130099E8,6.03581918E8,7.069859324E9,7.662028661E9,7.939364227E9,8.161614707E9,9.215449967E9,1.03166984E8,2.38820156E8,3.11868382E8,3.82703399E8,5.82051636E8,1.9907682366E10,2.0851216543E10,2.1584525091E10,2.2536351316E10,2.4626086395E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.92,275.41,173.55,566.12,0.0,396.18,169.6,180.06,215.88,0.0,0.0,570.52,0.0,397.75,172.36,182.53,214.94,0.0,0.0
44,220,109.06363636363636,120.0,124.42727272727272,128.79545454545453,137.87272727272727,126.69090909090909,143.54090909090908,150.25,156.08636363636364,175.2590909090909,102.24545454545455,112.95,117.33181818181818,121.1590909090909,130.14545454545456,126.5,144.58636363636364,150.99545454545455,155.13636363636363,178.6909090909091,101.13636363636364,111.75454545454545,115.88636363636364,119.79545454545455,129.16363636363636,8.85090074E8,9.58469738E8,1.004958363E9,1.048716311E9,1.20959308E9,1.52031265E8,2.50574087E8,3.04538946E8,3.63013215E8,5.60929735E8,7.908935863E9,8.684245727E9,8.948523754E9,9.227884719E9,9.906721123E9,1.18142247E8,2.57307088E8,2.94758144E8,3.70061979E8,6.62532852E8,2.339901246E10,2.5041352828E10,2.5728520799E10,2.6548942372E10,2.8217135902E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.58,288.62,182.08,576.62,0.0,405.19,171.13,181.32,223.66,0.0,0.0,601.72,0.0,418.49,182.83,192.72,225.59,0.0,0.0
46,230,110.9608695652174,119.3391304347826,123.20869565217392,127.29130434782608,136.5391304347826,130.79565217391306,143.08695652173913,150.54782608695652,157.31304347826088,174.04347826086956,104.63478260869566,112.62173913043478,116.18260869565218,120.5,128.00434782608696,130.45217391304348,142.99565217391304,149.46521739130435,155.0695652173913,176.80869565217392,103.45217391304348,111.43478260869566,114.93478260869566,119.37391304347825,126.75217391304348,9.76823822E8,1.083718951E9,1.127425572E9,1.183850661E9,1.256810688E9,1.0462101E8,2.26738826E8,2.8808489E8,3.46380512E8,4.31347661E8,9.299759069E9,9.95197147E9,1.0179197554E10,1.0437134168E10,1.1231246105E10,1.07067024E8,2.23259155E8,3.1196488E8,3.64081199E8,6.66906606E8,2.5822537323E10,2.6702591331E10,2.7119765263E10,2.7883176689E10,3.0890609781E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.72,303.51,192.37,583.84,0.0,413.56,169.92,180.1,233.26,0.0,0.0,609.99,0.0,426.65,182.83,193.29,233.15,0.0,0.0
48,240,109.425,119.625,123.49166666666666,128.71666666666667,141.31666666666666,126.54166666666667,145.85833333333332,151.3375,158.81666666666666,190.86666666666667,103.19583333333334,113.13333333333334,116.5125,121.15416666666667,132.58333333333334,133.42083333333332,143.94583333333333,151.97083333333333,160.19166666666666,180.24166666666667,102.1,111.93333333333334,115.3625,120.00833333333334,131.30416666666667,1.051447999E9,1.218413193E9,1.267236712E9,1.322574193E9,1.470628882E9,1.10653675E8,2.19366191E8,2.86951527E8,3.52224729E8,5.12520471E8,1.0066425544E10,1.1220454098E10,1.1479305998E10,1.1881346943E10,1.2655379843E10,1.08050576E8,2.32126556E8,3.01732446E8,3.49146879E8,4.99189842E8,2.9279664839E10,3.0204089899E10,3.1000712058E10,3.1713642696E10,3.6749883349E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,318.73,202.61,595.43,0.0,423.33,171.59,181.46,241.7,0.0,0.0,631.22,0.0,439.6,191.24,196.0,243.32,0.0,0.0
50,250,103.976,119.268,123.952,127.792,139.512,115.56,146.284,152.152,158.744,177.692,97.776,112.412,116.708,120.732,132.72,127.3,144.256,151.776,159.404,180.444,96.58,111.216,115.512,119.484,131.668,1.24168801E9,1.355350209E9,1.409635792E9,1.468085781E9,1.668704258E9,1.19185579E8,2.24826684E8,2.91837877E8,3.76592656E8,5.01171708E8,1.1548760113E10,1.2537926433E10,1.2813353574E10,1.3099036517E10,1.3918083516E10,1.20419872E8,2.5112509E8,2.90614806E8,3.57390246E8,5.82408896E8,3.3339254733E10,3.4942216019E10,3.6143726329E10,3.7229604544E10,4.0886691556E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.26,329.04,211.08,632.39,0.0,447.51,184.52,195.37,251.93,0.0,0.0,660.23,0.0,460.67,199.12,207.59,252.85,0.0,0.0
52,260,110.55384615384615,119.24615384615385,123.50384615384615,126.16923076923077,137.56153846153848,133.91538461538462,146.75384615384615,152.34230769230768,159.6076923076923,176.43846153846152,104.82307692307693,112.32307692307693,116.36153846153846,119.29615384615384,128.9576923076923,130.78076923076924,145.76538461538462,152.75384615384615,160.6,184.56923076923076,103.75769230769231,111.17307692307692,115.06923076923077,118.16153846153846,127.70384615384616,1.419150521E9,1.532338536E9,1.601966083E9,1.655840613E9,1.80656206E9,1.36712131E8,2.4779104E8,3.1698809E8,3.79027884E8,5.75181418E8,1.3303469986E10,1.3775556269E10,1.4196572581E10,1.4549385033E10,1.6290894122E10,6.2440283E7,2.74822326E8,3.21602361E8,3.72527814E8,5.19994468E8,3.7409264793E10,3.8995066434E10,3.994112312E10,4.0942489134E10,4.3435821641E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.8,345.01,220.17,689.18,0.0,479.29,209.53,215.89,263.17,0.0,0.0,697.31,0.0,481.99,214.76,219.22,262.54,0.0,0.0
54,270,112.49259259259259,118.68888888888888,123.0962962962963,126.56666666666666,140.06666666666666,131.7,148.21481481481482,153.63703703703703,161.07037037037037,190.0962962962963,106.44814814814815,111.84444444444445,116.51851851851852,119.28888888888889,132.61111111111111,135.33333333333334,145.1259259259259,154.1962962962963,161.16296296296295,193.46296296296296,105.42592592592592,110.56296296296296,115.27037037037037,117.95555555555555,131.37037037037038,1.504461684E9,1.694606798E9,1.758878608E9,1.841399594E9,2.051980172E9,1.39725334E8,2.44642547E8,2.96683822E8,3.48349781E8,5.47154712E8,1.4689983451E10,1.5371976223E10,1.5711499656E10,1.6194934438E10,1.748809719E10,1.24579024E8,2.40266176E8,3.07107159E8,3.77806797E8,5.94227625E8,4.2632587747E10,4.466021823E10,4.5643750379E10,4.7025128297E10,5.0629856954E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.94,357.44,229.36,691.58,0.0,485.75,205.45,214.44,271.17,0.0,0.0,706.8,0.0,492.24,214.31,221.06,270.93,0.0,0.0
56,280,111.38214285714285,118.65,121.81071428571428,126.92142857142858,140.24285714285713,130.60714285714286,147.33214285714286,155.85,161.7357142857143,189.43214285714285,104.93214285714286,112.08928571428571,115.19642857142857,119.83928571428571,132.25,134.99285714285713,149.14642857142857,154.5,161.69285714285715,183.54285714285714,103.69285714285714,110.86071428571428,114.02857142857142,118.60714285714286,131.01071428571427,1.665050697E9,1.866966571E9,1.954876577E9,2.041718256E9,2.169444603E9,1.43418578E8,2.61222079E8,3.2414428E8,3.79243588E8,6.64906844E8,1.5651493576E10,1.6890381335E10,1.7565474683E10,1.798516785E10,2.0245058894E10,9.364303E7,2.39989872E8,3.19888005E8,3.82102593E8,5.65414057E8,4.8589404726E10,5.1835144844E10,5.2996833367E10,5.4595616739E10,6.3690865425E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.72,372.55,237.17,722.13,0.0,504.37,216.94,223.52,280.63,0.0,0.0,729.52,0.0,508.43,220.62,227.2,280.97,0.0,0.0
58,290,107.81379310344828,121.15517241379311,123.80344827586207,127.46206896551725,138.41034482758621,133.86206896551724,153.0,158.3551724137931,164.7103448275862,182.1344827586207,101.70689655172414,114.22413793103448,116.57586206896552,120.35862068965517,130.5758620689655,137.02068965517242,151.57931034482758,157.68275862068967,165.05172413793105,184.20689655172413,100.7551724137931,113.08620689655173,115.39655172413794,119.2448275862069,129.3206896551724,1.916167776E9,2.037847305E9,2.114241154E9,2.211782813E9,2.536839963E9,1.33137536E8,2.47930007E8,3.03766405E8,3.53937513E8,5.56949275E8,1.7725802736E10,1.8651820012E10,1.9015231073E10,1.9543644883E10,2.0648235286E10,1.35304369E8,2.63090192E8,3.17765352E8,3.85628717E8,7.82552254E8,5.3785265929E10,5.6383248794E10,5.735025254E10,5.8515509325E10,6.4488950397E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.56,383.07,247.69,736.42,0.0,515.27,220.9,224.87,290.2,0.0,0.0,762.83,0.0,528.16,234.19,237.09,290.79,0.0,0.0
60,300,110.04666666666667,119.63666666666667,123.04,126.12333333333333,137.18,134.02,149.07666666666665,157.41,163.49,184.70666666666668,103.89333333333333,112.77,116.24333333333334,119.26,128.92,133.17333333333335,150.99333333333334,157.61333333333334,165.01,193.58666666666667,102.58,111.61666666666666,115.14333333333333,117.94333333333333,127.84666666666666,1.995023445E9,2.252057499E9,2.328455295E9,2.429536995E9,2.63085643E9,1.5838579E8,2.70501007E8,3.16048322E8,3.7968415E8,6.23136499E8,1.9228150863E10,2.048475353E10,2.105462632E10,2.1682467217E10,2.306930408E10,1.4193545E8,2.65702733E8,3.33081406E8,3.90778934E8,4.92065802E8,5.9766557557E10,6.2793342946E10,6.4448145225E10,6.607693073E10,6.9924952198E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.04,397.98,257.94,778.65,0.0,538.04,239.93,237.58,300.23,0.0,0.0,778.12,0.0,540.12,237.47,241.01,298.78,0.0,0.0
62,310,108.29032258064517,119.68387096774194,123.4,126.27741935483871,137.48709677419356,138.23870967741937,153.44193548387096,158.32903225806453,167.03225806451613,189.28387096774193,101.7741935483871,113.0741935483871,116.96129032258065,119.21935483870968,130.03548387096774,136.66129032258064,152.98387096774192,158.6483870967742,167.60967741935485,178.79032258064515,100.55483870967743,111.93225806451613,115.83870967741936,118.07096774193549,128.6483870967742,2.249011588E9,2.483234767E9,2.561704624E9,2.673598692E9,2.919159389E9,1.6378643E8,2.56808899E8,3.04706908E8,3.62985176E8,6.11969744E8,2.0922154714E10,2.2301778413E10,2.2771713518E10,2.3364310827E10,2.5199729827E10,1.5553819E8,2.64891496E8,3.2040924E8,3.84109103E8,5.82091234E8,6.7561065528E10,7.3114908842E10,7.4997759203E10,7.7065723608E10,8.4180886455E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.98,408.52,264.58,767.44,0.0,540.63,226.38,232.32,308.12,0.0,0.0,786.31,0.0,547.37,237.91,237.76,309.39,0.0,0.0
64,320,109.6625,118.6625,122.884375,126.559375,140.534375,143.496875,154.503125,164.54375,170.821875,184.60625,102.91875,111.909375,116.05625,119.496875,131.965625,139.2875,153.86875,161.528125,169.171875,191.721875,101.934375,110.59375,114.884375,118.25,130.9,2.486440773E9,2.694025514E9,2.823352702E9,2.912864117E9,3.238451533E9,1.45184475E8,2.57306644E8,3.21618142E8,3.93694508E8,5.67141208E8,2.3121512422E10,2.448714827E10,2.5171829889E10,2.5563712101E10,2.6912111899E10,1.64584711E8,2.92901582E8,3.39887523E8,3.94572151E8,7.06225059E8,7.758506451E10,8.3389953384E10,8.5499074411E10,8.7449130225E10,9.4708587054E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.52,424.15,274.39,786.36,0.0,554.33,231.45,236.38,317.76,0.0,0.0,832.12,0.0,576.51,254.94,257.83,318.37,0.0,0.0
66,330,109.86969696969697,119.5,122.38181818181818,126.41818181818182,132.77878787878788,142.71818181818182,157.22727272727272,163.53939393939393,170.72424242424242,200.8242424242424,103.81818181818181,112.9090909090909,115.7030303030303,119.13636363636364,124.39393939393939,137.6,154.4181818181818,162.27878787878788,168.5121212121212,188.5060606060606,102.75454545454545,111.78484848484848,114.61818181818182,118.04242424242425,123.30606060606061,2.749650508E9,2.986967697E9,3.074274157E9,3.171970018E9,3.542220791E9,1.41966053E8,2.71791484E8,3.24293998E8,3.86767409E8,5.59182369E8,2.5500084581E10,2.666078316E10,2.7415742574E10,2.7881676256E10,2.9337550852E10,1.85388197E8,2.79209315E8,3.39614875E8,3.93995889E8,7.09965296E8,8.3230058583E10,8.6922203468E10,8.9375185419E10,9.1292311243E10,9.9016726434E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.14,439.67,286.33,821.29,0.0,574.97,245.64,248.35,326.34,0.0,0.0,856.79,0.0,590.69,265.21,263.55,326.9,0.0,0.0
68,340,107.79705882352941,119.94411764705882,122.9735294117647,126.06764705882352,146.15588235294118,136.42352941176472,158.24411764705883,164.02058823529413,170.93235294117648,192.5,102.22058823529412,113.35588235294118,115.79705882352941,119.2,137.51764705882354,144.1235294117647,155.36470588235295,162.6264705882353,173.18529411764706,202.93235294117648,101.12941176470588,112.30882352941177,114.75882352941177,117.93529411764706,136.46764705882353,3.021280186E9,3.235703236E9,3.320901531E9,3.448145055E9,3.74563078E9,1.01499783E8,2.73294099E8,3.30828268E8,3.76119098E8,5.99591242E8,2.7602657316E10,2.915294981E10,2.9806720616E10,3.0425224218E10,3.245338191E10,1.24001835E8,2.74902567E8,3.40282472E8,3.88017582E8,5.39576524E8,9.1327401943E10,9.8488546307E10,1.00620822584E11,1.03309661712E11,1.11068066513E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.5,453.81,294.77,834.74,0.0,586.55,247.83,252.76,333.57,0.0,0.0,873.87,0.0,602.87,269.81,265.91,336.7,0.0,0.0
70,350,109.88571428571429,120.71428571428571,122.89142857142858,125.99142857142857,132.01142857142858,146.33714285714285,159.8,166.36857142857144,173.95714285714286,200.9742857142857,102.95142857142856,113.78285714285714,116.18285714285715,119.05714285714286,125.19428571428571,137.84857142857143,160.15428571428572,165.3542857142857,171.93428571428572,192.31142857142856,101.81428571428572,112.72285714285714,115.06857142857143,117.85714285714286,124.11714285714285,3.152081693E9,3.536008462E9,3.632160587E9,3.738767768E9,4.203912145E9,1.42665135E8,2.7248084E8,3.43523951E8,3.94977589E8,5.31204986E8,2.9470783937E10,3.1710439525E10,3.2369864089E10,3.3061418369E10,3.4771610043E10,1.80283337E8,2.78326311E8,3.58576101E8,4.12667069E8,7.26590819E8,9.983295123E10,1.04178904079E11,1.06430921637E11,1.08435675408E11,1.15137258337E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.64,467.93,303.83,864.0,0.0,608.48,255.04,263.41,344.79,0.0,0.0,900.07,0.0,623.72,275.58,277.58,345.77,0.0,0.0
72,360,105.75277777777778,118.60555555555555,122.25833333333334,125.84722222222223,133.8972222222222,139.65277777777777,159.0888888888889,168.1638888888889,175.25,191.4111111111111,100.15,112.05833333333334,115.40277777777777,118.57222222222222,126.32777777777778,143.7861111111111,158.2138888888889,164.21666666666667,174.51944444444445,199.53333333333333,99.08611111111111,110.90833333333333,114.23055555555555,117.47777777777777,125.21388888888889,3.50839916E9,3.80323381E9,3.95661065E9,4.07627633E9,4.431711831E9,1.95599169E8,3.0387402E8,3.43309363E8,4.19524781E8,8.45133096E8,3.2605399634E10,3.4143283294E10,3.4737096327E10,3.5467935491E10,3.8934569352E10,1.86493047E8,2.90569486E8,3.31582015E8,3.98164978E8,5.60577357E8,1.07556589828E11,1.13477875862E11,1.15351273879E11,1.17096880283E11,1.25738538129E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.58,481.21,312.95,910.98,0.0,630.73,279.48,276.9,353.6,0.0,0.0,920.79,0.0,638.11,282.24,282.6,355.32,0.0,0.0
74,370,106.22432432432433,120.23243243243243,122.95135135135135,125.68108108108108,134.48648648648648,138.69189189189188,164.23243243243243,169.85405405405405,178.74864864864864,203.04864864864865,100.04324324324324,113.50540540540541,115.87297297297297,118.8,127.55675675675676,148.6810810810811,161.28108108108108,168.03513513513514,176.33513513513515,199.94594594594594,99.00540540540541,112.44864864864864,114.77297297297298,117.72432432432433,126.44054054054054,3.806194327E9,4.106110238E9,4.232160094E9,4.334499045E9,4.7466596E9,1.45605672E8,2.70555446E8,3.32664853E8,3.92585841E8,6.61337716E8,3.5563091472E10,3.7031398146E10,3.7739562259E10,3.8501679747E10,4.060934128E10,1.93820934E8,3.01354015E8,3.48134924E8,4.19541911E8,6.79635537E8,1.18499594308E11,1.25104198364E11,1.28355253357E11,1.31270768596E11,1.38119110792E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.68,496.87,322.91,894.0,0.0,631.21,262.34,268.31,362.7,0.0,0.0,952.03,0.0,658.26,292.19,293.82,364.11,0.0,0.0
76,380,107.7921052631579,120.61842105263158,122.58421052631579,125.2078947368421,133.43947368421053,147.69210526315788,164.00526315789475,170.2578947368421,178.34736842105264,205.5342105263158,102.48157894736842,113.61052631578947,115.96315789473684,118.60526315789474,125.52368421052631,146.21052631578948,162.51842105263157,169.59473684210528,178.62105263157895,206.09473684210528,101.33947368421053,112.48421052631579,114.79473684210527,117.55263157894737,124.57631578947368,4.145326877E9,4.457477736E9,4.623569728E9,4.782299229E9,5.23229213E9,1.57389941E8,2.81776473E8,3.46856818E8,4.13152689E8,5.92517951E8,3.7885068554E10,3.9976468187E10,4.0621297183E10,4.1554717269E10,4.3835393675E10,1.82995158E8,2.79619713E8,3.5045389E8,4.0128541E8,6.05661225E8,1.25787717921E11,1.35208959035E11,1.38020650774E11,1.40710227524E11,1.51343956067E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.56,508.07,331.77,935.2,0.0,653.64,281.04,281.16,372.23,0.0,0.0,950.39,0.0,661.86,288.0,289.68,371.9,0.0,0.0
78,390,111.32307692307693,120.27435897435898,123.03846153846153,126.11794871794872,134.82820512820513,144.56153846153848,166.15128205128204,175.65128205128204,181.7974358974359,201.44358974358974,105.24102564102564,113.56923076923077,116.1,119.01025641025642,128.33333333333334,146.77692307692308,166.62564102564102,172.9,180.02820512820512,208.0871794871795,104.1923076923077,112.63846153846154,115.06666666666666,117.96666666666667,127.26666666666667,4.385922598E9,4.846480484E9,4.963291585E9,5.081037882E9,5.669665928E9,1.30856462E8,3.00808344E8,3.55440291E8,4.0242244E8,5.13285257E8,4.0919549168E10,4.2919377183E10,4.3901655377E10,4.4906930675E10,4.7036111144E10,1.37095756E8,3.08818658E8,3.56573977E8,4.12910957E8,6.22955172E8,1.40680932683E11,1.4709724808E11,1.50310842177E11,1.53210024494E11,1.70203709669E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.92,521.54,342.48,969.37,0.0,677.54,291.43,295.13,382.2,0.0,0.0,992.53,0.0,686.15,305.91,303.64,382.21,0.0,0.0
80,400,113.675,119.16,122.4175,125.325,132.565,152.64,166.125,173.225,181.73,225.0,107.045,112.4825,115.465,118.2925,125.6025,152.0625,165.6775,175.425,186.44,213.74,106.0075,111.4375,114.445,117.2475,124.5225,4.845764138E9,5.187164667E9,5.307538269E9,5.517998509E9,5.983320847E9,1.70421976E8,3.14741685E8,3.69721439E8,4.28860867E8,6.17698352E8,4.4089444344E10,4.5840280468E10,4.6847555202E10,4.775328315E10,5.1670740948E10,1.77168312E8,2.91107579E8,3.53887703E8,4.28218683E8,6.26775087E8,1.55466670272E11,1.63430115754E11,1.67245385341E11,1.71171267114E11,1.8338293845E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.42,533.48,348.44,1001.53,0.0,694.73,305.99,303.23,391.3,0.0,0.0,990.71,0.0,689.4,299.97,298.75,390.38,0.0,0.0
82,410,112.14634146341463,118.60975609756098,123.10243902439025,126.20487804878049,134.38536585365853,145.98536585365855,169.83414634146342,176.62439024390244,186.39268292682928,234.0829268292683,106.66341463414633,111.84390243902439,116.29756097560976,119.18536585365854,126.81219512195122,152.7560975609756,167.34878048780487,176.17073170731706,186.62439024390244,217.63170731707316,105.64146341463415,110.81463414634146,115.21219512195123,118.17073170731707,125.7439024390244,5.060245622E9,5.497025069E9,5.697963109E9,5.865994018E9,6.384682031E9,1.58036668E8,2.99699057E8,3.68267895E8,4.21115762E8,7.77975653E8,4.648450308E10,4.9372704226E10,5.0324110506E10,5.1580900782E10,5.3759414036E10,1.95763663E8,3.1658792E8,3.91118121E8,4.48781448E8,6.80691099E8,1.63700291024E11,1.71889932369E11,1.7602544461E11,1.79868408393E11,1.89380334557E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.12,551.37,359.93,999.76,0.0,700.83,297.96,302.86,397.75,0.0,0.0,1046.2,0.0,721.49,323.86,321.92,399.29,0.0,0.0
84,420,111.33333333333333,121.15238095238095,123.08333333333333,126.07857142857142,134.6261904761905,149.2,171.27142857142857,181.52142857142857,192.35714285714286,224.01904761904763,105.39285714285714,114.26428571428572,116.59761904761905,118.93809523809524,126.65238095238095,150.91904761904763,171.14523809523808,179.91904761904763,188.8904761904762,228.6261904761905,104.51666666666667,113.28333333333333,115.60238095238095,117.92380952380952,125.50238095238095,5.441344147E9,5.969250352E9,6.118099472E9,6.293512348E9,6.852311786E9,1.59797566E8,3.07485745E8,3.82731838E8,4.2509198E8,6.15505591E8,5.0450714999E10,5.323688349E10,5.3991389736E10,5.5086171934E10,5.7016817535E10,1.75583649E8,3.25503886E8,3.86059144E8,4.48066531E8,6.57412487E8,1.79522529281E11,1.86545750169E11,1.90385876411E11,1.93402962064E11,2.00864890761E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.56,563.2,368.7,1053.79,0.0,732.34,320.65,323.43,408.6,0.0,0.0,1060.91,0.0,735.19,324.41,325.17,409.68,0.0,0.0
86,430,111.24651162790698,120.3,123.21162790697674,126.04883720930232,132.22790697674418,143.08372093023254,172.02558139534884,180.9720930232558,189.19302325581396,213.8953488372093,105.41162790697675,113.90232558139535,115.95581395348837,119.45348837209302,125.13023255813954,147.21395348837208,174.21395348837208,182.6139534883721,191.53255813953487,210.64883720930231,104.46511627906976,112.85581395348837,114.9906976744186,118.46976744186047,124.06511627906977,5.96358725E9,6.37141076E9,6.662216791E9,6.8431117E9,7.374435306E9,1.58545797E8,3.26411069E8,3.9921973E8,4.72376003E8,6.83289971E8,5.4881529715E10,5.7413894243E10,5.8341589552E10,5.965966573E10,6.2587765757E10,1.67165154E8,3.09310972E8,3.74889217E8,4.38854735E8,6.28665483E8,1.90095258922E11,2.03948691557E11,2.10667887671E11,2.17076104367E11,2.31141516746E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.98,578.89,379.53,1107.56,0.0,763.39,343.76,344.79,418.3,0.0,0.0,1085.12,0.0,749.18,335.21,331.11,417.78,0.0,0.0
88,440,113.95681818181818,119.81363636363636,122.43181818181819,124.89318181818182,130.67045454545453,159.08863636363637,174.48181818181817,180.7931818181818,189.6590909090909,214.65454545454546,107.65227272727273,113.2159090909091,115.59318181818182,118.05909090909091,123.80454545454545,154.9181818181818,172.29545454545453,180.44772727272726,188.60454545454544,223.15681818181818,106.62954545454545,112.32727272727273,114.63409090909092,117.04772727272727,122.91136363636363,6.57871835E9,6.843636255E9,7.030806257E9,7.204105634E9,8.101185782E9,1.97685799E8,3.18683487E8,3.76058942E8,4.59226255E8,6.26733663E8,5.6626862404E10,6.0601682464E10,6.160839214E10,6.2924070015E10,6.575908948E10,1.57415242E8,3.41899E8,3.85228418E8,4.46317663E8,7.49025853E8,2.05055117213E11,2.1791830518E11,2.22813341993E11,2.28395920146E11,2.38752173485E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.94,587.44,386.92,1106.87,0.0,768.1,337.95,340.56,427.34,0.0,0.0,1124.09,0.0,777.77,345.12,349.97,427.5,0.0,0.0
90,450,111.58444444444444,120.01777777777778,122.93111111111111,126.06666666666666,133.4311111111111,155.28222222222223,176.71333333333334,186.86222222222221,194.8,214.60888888888888,105.51777777777778,113.33777777777777,116.05333333333333,119.37555555555555,125.85333333333334,150.90222222222224,176.79777777777778,184.8022222222222,194.48888888888888,225.47333333333333,104.58222222222223,112.3711111111111,115.03777777777778,118.46222222222222,124.86666666666666,6.651106331E9,7.284240887E9,7.482678543E9,7.669357105E9,8.311118356E9,1.55908972E8,3.36935677E8,4.03700439E8,4.7950581E8,8.2426711E8,6.0789797167E10,6.4564947613E10,6.5851592681E10,6.7052292372E10,7.0795542473E10,1.16582078E8,3.43724465E8,3.86768065E8,4.57857575E8,7.15589223E8,2.25759260087E11,2.34703011786E11,2.41586418678E11,2.45496632618E11,2.60436990231E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.56,604.64,398.92,1136.06,0.0,786.11,349.05,350.05,435.74,0.0,0.0,1153.03,0.0,795.74,356.16,358.95,436.54,0.0,0.0
