m,n,minGiftSolverflowtime,openGiftSolverflowtime,meanGiftSolverflowtime,closedGiftSolverflowtime,maxGiftSolverflowtime,minDistributedGiftSolverflowtime,openDistributedGiftSolverflowtime,meanDistributedGiftSolverflowtime,closedDistributedGiftSolverflowtime,maxDistributedGiftSolverflowtime,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minRefSolverflowtime,openRefSolverflowtime,meanRefSolverflowtime,closedRefSolverflowtime,maxRefSolverflowtime,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
22,110,104.21818181818182,117.93636363636364,125.95454545454545,133.9909090909091,150.1818181818182,114.92727272727272,130.64545454545456,140.21818181818182,149.6090909090909,182.3909090909091,97.24545454545455,111.56363636363636,118.98181818181818,126.2,142.6727272727273,110.16363636363636,131.86363636363637,143.14545454545456,152.28181818181818,181.54545454545453,96.15454545454546,110.52727272727273,117.81818181818181,125.15454545454546,141.4090909090909,1.42240831E8,1.68827759E8,1.78109035E8,1.89575179E8,2.46428441E8,1.25280867E8,2.52169352E8,3.05248629E8,4.07086699E8,6.96751721E8,1.296956975E9,1.422534356E9,1.478116031E9,1.54333602E9,1.727990063E9,8.8917618E7,2.53723225E8,3.18346662E8,3.99946322E8,6.39581928E8,2.928527149E9,3.075866876E9,3.160860906E9,3.298079243E9,3.893159454E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6,136.06,83.34,332.22,0.0,235.44,96.51,121.47,113.72,0.0,0.0,329.31,0.0,234.48,94.17,120.57,113.54,0.0,0.0
24,120,99.49166666666666,119.99166666666666,126.15833333333333,131.76666666666668,143.475,107.35,136.55,144.14166666666668,152.43333333333334,174.08333333333334,94.51666666666667,113.23333333333333,118.775,123.875,135.6,115.11666666666666,137.71666666666667,143.70833333333334,152.30833333333334,166.58333333333334,93.4,111.79166666666667,117.70833333333333,122.78333333333333,134.15,1.72390642E8,2.09566716E8,2.23239321E8,2.34842118E8,2.83034148E8,9.7942808E7,2.43089049E8,3.0720635E8,3.9154424E8,6.07259109E8,1.658136985E9,1.768641611E9,1.845058417E9,1.956425449E9,2.146323878E9,9.8234486E7,1.94591758E8,2.77290574E8,3.67054087E8,6.9132585E8,3.601026786E9,3.773614588E9,3.871945392E9,4.005025191E9,4.75927694E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.62,150.3,93.06,343.77,0.0,245.16,98.29,121.17,123.85,0.0,0.0,324.01,0.0,235.09,88.61,111.44,123.46,0.0,0.0
26,130,103.81538461538462,118.35384615384615,125.17692307692307,129.6846153846154,143.95384615384614,115.96153846153847,133.55384615384617,142.25384615384615,151.16153846153847,177.74615384615385,97.0923076923077,110.66153846153846,118.14615384615385,122.15384615384616,136.07692307692307,117.41538461538461,131.7846153846154,141.33846153846153,150.58461538461538,180.2846153846154,96.06923076923077,109.78461538461538,116.8076923076923,121.06923076923077,134.87692307692308,2.30249113E8,2.47375453E8,2.62418278E8,2.77876909E8,3.25865117E8,1.31173491E8,2.27222337E8,3.12195414E8,3.78131162E8,5.15930251E8,1.989020562E9,2.203071919E9,2.293252007E9,2.410287898E9,2.66668891E9,1.01367812E8,2.42783356E8,3.06280479E8,3.66566273E8,5.52128669E8,4.693639098E9,4.985474907E9,5.102626014E9,5.279975376E9,6.303309695E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.76,165.12,102.3,365.17,0.0,261.22,103.5,126.46,134.55,0.0,0.0,369.5,0.0,262.38,106.76,127.48,134.74,0.0,0.0
28,140,100.67142857142858,119.82857142857142,124.22142857142858,131.7642857142857,149.32857142857142,112.84285714285714,135.46428571428572,142.99285714285713,150.95714285714286,177.67857142857142,94.84285714285714,112.67142857142858,116.99285714285715,123.65714285714286,140.37857142857143,116.41428571428571,136.92142857142858,144.79285714285714,150.74285714285713,166.32142857142858,93.14285714285714,111.27857142857142,115.72857142857143,122.44285714285714,138.95714285714286,2.57634896E8,2.97780894E8,3.1249858E8,3.36351539E8,4.06515787E8,1.09882598E8,2.24632747E8,3.05307614E8,3.66930548E8,6.36179853E8,2.46318606E9,2.645015722E9,2.732764536E9,2.824981239E9,3.21841243E9,9.5460778E7,2.26427415E8,3.01834373E8,3.75294645E8,6.59151208E8,5.961748138E9,6.267447601E9,6.494427532E9,6.742325636E9,7.398902346E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.42,176.72,110.9,400.6,0.0,281.72,118.54,135.39,146.07,0.0,0.0,400.04,0.0,281.16,118.64,135.66,145.3,0.0,0.0
30,150,101.73333333333333,119.89333333333333,123.78666666666666,130.18,140.68666666666667,120.17333333333333,136.48,143.1,150.16,171.48666666666668,95.54666666666667,112.69333333333333,116.24,122.68,133.13333333333333,117.83333333333333,136.24,141.52,150.84666666666666,177.98666666666668,94.32666666666667,111.54666666666667,115.00666666666666,121.39333333333333,131.85333333333332,3.11472342E8,3.59569045E8,3.7645794E8,3.9827594E8,4.48428637E8,1.2963841E8,2.21966006E8,3.07958131E8,3.4776328E8,4.84689338E8,2.870211424E9,3.131037585E9,3.255423644E9,3.370173217E9,3.772335674E9,1.0075155E8,2.28824021E8,2.80207333E8,3.36199301E8,5.51311586E8,7.24127514E9,7.692715196E9,7.95520078E9,8.428231346E9,9.317272363E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.2,191.23,119.27,403.04,0.0,287.46,115.2,132.26,155.0,0.0,0.0,402.12,0.0,286.47,115.44,130.8,155.52,0.0,0.0
32,160,103.625,119.1125,123.5125,130.14375,143.525,122.8375,136.46875,143.70625,150.8375,170.0625,97.6625,112.06875,115.5875,122.75,134.95,119.75625,135.94375,142.64375,151.11875,175.6375,96.63125,111.05625,114.375,121.51875,133.5375,3.81558967E8,4.25597021E8,4.42655389E8,4.73536419E8,5.52428682E8,1.33385789E8,2.27043234E8,3.04001986E8,3.62660315E8,5.12113807E8,3.48420779E9,3.708173412E9,3.862412585E9,3.988628374E9,4.334309326E9,1.05088313E8,2.30449908E8,2.8572932E8,3.63243657E8,5.48240318E8,8.970939681E9,9.575014133E9,9.944348437E9,1.0534194222E10,1.1882199062E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.06,205.44,129.18,438.14,0.0,310.7,127.15,145.28,165.26,0.0,0.0,433.8,0.0,306.96,126.7,141.45,165.35,0.0,0.0
34,170,109.2,120.48235294117647,124.59411764705882,128.71176470588236,145.3764705882353,121.94117647058823,140.08823529411765,146.97058823529412,152.00588235294117,171.69411764705882,102.86470588235294,113.5,117.31764705882352,121.48823529411764,136.75882352941176,121.63529411764706,138.84117647058824,143.81764705882352,150.40588235294118,176.6,101.51764705882353,112.13529411764706,115.98823529411764,120.34117647058824,135.41764705882352,4.22447176E8,4.95494455E8,5.16555733E8,5.38211111E8,6.38632257E8,1.24320906E8,2.26475378E8,2.90430064E8,3.6459627E8,6.42725718E8,3.96960521E9,4.33802867E9,4.500033936E9,4.638912808E9,5.321878657E9,1.44859091E8,2.50165193E8,3.07624353E8,3.66761034E8,6.75305238E8,1.0227752436E10,1.0682220013E10,1.1092194938E10,1.1488368044E10,1.3281326859E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.88,219.43,137.79,467.9,0.0,329.34,137.89,152.74,176.37,0.0,0.0,485.07,0.0,339.32,145.42,162.7,176.43,0.0,0.0
36,180,106.13888888888889,119.5111111111111,124.75555555555556,128.29444444444445,144.2722222222222,122.97777777777777,137.51666666666668,145.38888888888889,155.23333333333332,180.48888888888888,100.65,112.55,117.16666666666667,120.79444444444445,135.5888888888889,121.57222222222222,136.15555555555557,144.82777777777778,152.1,181.95555555555555,99.44444444444444,111.32777777777778,115.9888888888889,119.71666666666667,134.19444444444446,4.95351316E8,5.7275059E8,5.99922748E8,6.24207491E8,7.48208603E8,1.2971187E8,2.42878947E8,3.09419354E8,3.73467493E8,5.15570101E8,4.56929372E9,5.053891569E9,5.25218011E9,5.444020309E9,5.913368524E9,9.4379431E7,2.52779602E8,3.09440315E8,3.81231689E8,5.23584649E8,1.1879115949E10,1.2429411783E10,1.2629541346E10,1.3041605739E10,1.5014474383E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.04,233.36,146.12,502.68,0.0,351.72,150.75,165.68,185.84,0.0,0.0,497.67,0.0,349.56,147.68,164.07,185.34,0.0,0.0
38,190,108.57368421052631,118.5421052631579,123.22105263157894,128.14736842105262,145.29473684210527,122.37894736842105,137.82105263157894,145.14736842105262,153.6263157894737,185.50526315789475,101.91578947368421,111.78947368421052,115.87894736842105,121.0421052631579,136.6315789473684,126.92631578947369,137.78947368421052,147.7578947368421,153.80526315789473,184.96315789473684,100.76315789473684,110.88947368421053,114.57368421052631,119.6842105263158,135.35263157894738,5.50756788E8,6.60310569E8,6.87942221E8,7.2374873E8,8.42163994E8,1.0120592E8,2.2396388E8,3.00023264E8,3.76620539E8,5.00636498E8,5.502431616E9,5.89877105E9,6.117162761E9,6.297713158E9,6.962545013E9,9.8997E7,2.45856272E8,2.98639928E8,3.68642071E8,5.20634796E8,1.4614173452E10,1.5325913653E10,1.5889168366E10,1.6399555642E10,1.8287350437E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.32,247.6,156.5,513.71,0.0,360.48,152.72,163.79,196.47,0.0,0.0,523.05,0.0,366.68,156.17,169.86,196.65,0.0,0.0
40,200,111.035,118.585,122.54,126.78,138.795,123.055,138.975,146.955,152.79,189.11,105.175,111.325,115.5,119.675,130.65,126.145,140.23,145.265,153.7,178.845,103.915,110.245,114.255,118.485,129.235,6.78350415E8,7.49581847E8,7.83846134E8,8.19328277E8,9.64927225E8,1.12135166E8,2.21203002E8,3.07081965E8,3.66516192E8,5.61698926E8,6.146099839E9,6.751263266E9,6.891461702E9,7.115715348E9,7.634118788E9,9.6251976E7,2.2786438E8,2.85941674E8,3.71574817E8,6.56509874E8,1.666677196E10,1.7295983505E10,1.769546497E10,1.806974403E10,2.0371707687E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.84,259.01,164.15,535.82,0.0,375.98,159.52,170.28,205.51,0.0,0.0,548.53,0.0,385.31,163.07,178.85,206.2,0.0,0.0
