m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
22,110,342.0,392.0,436.0,466.0,563.0,385.0,427.0,449.0,471.0,680.0,278.0,331.0,347.0,363.0,407.0,323.0,368.0,403.0,438.0,541.0,3312.0,3965.0,4283.0,4579.0,5461.0,9.6397204E7,1.23155221E8,1.2847612E8,1.40669775E8,1.71529644E8,1.0410597E8,2.02464839E8,2.68510516E8,3.23622709E8,4.36207205E8,5.97748521E8,6.40709725E8,7.29275782E8,7.50350071E8,8.17095941E8,1.48448737E8,2.14983395E8,2.59638657E8,3.2967346E8,6.74965501E8,9.6579389E7,4.58557399E8,7.3871216E8,1.314169314E9,3.45755322E9,801396.0,874396.0,967154.0,1108425.0,1468084.0,264619.0,276606.0,290630.0,276606.0,436181.0,226.35,214.65,60.25,621.95,0.0,366.45,255.5,62.35,304.1,0.0,0.0,585.5,71.0,374.3,210.85,50.65,266.2,57.45,0.0
24,120,277.0,326.0,368.0,385.0,424.0,313.0,362.0,439.0,467.0,645.0,228.0,289.0,310.0,330.0,378.0,301.0,352.0,390.0,408.0,574.0,3179.0,4208.0,4556.0,4865.0,5279.0,1.53025443E8,1.65164845E8,1.8169058E8,2.00585665E8,2.3589967E8,1.32482291E8,2.32004568E8,3.09178619E8,3.48087777E8,5.05984129E8,7.67854084E8,9.02576689E8,9.85751376E8,1.081809236E9,1.163007823E9,9.944042E7,2.06724226E8,2.61339073E8,3.59809545E8,5.48809426E8,1.51735849E8,4.77350265E8,6.92473452E8,1.186120903E9,5.182525773E9,924569.0,961491.0,1046502.0,1230714.0,2073604.0,297483.0,301505.0,311937.0,301505.0,324774.0,264.3,252.05,61.55,691.85,0.0,412.95,278.85,74.95,337.95,0.0,0.0,609.9,74.55,393.95,215.7,49.6,281.55,62.7,0.0
26,130,251.0,309.0,328.0,394.0,442.0,277.0,333.0,388.0,438.0,500.0,240.0,274.0,301.0,314.0,342.0,297.0,346.0,362.0,387.0,466.0,3344.0,4348.0,4730.0,5152.0,5832.0,1.90151545E8,2.10744577E8,2.25983436E8,2.4323059E8,2.72910457E8,1.59853907E8,2.57621281E8,3.30896278E8,3.8005093E8,6.15869322E8,9.80023762E8,1.125487963E9,1.180191097E9,1.253037136E9,1.409540902E9,1.05388445E8,2.04099517E8,2.93686534E8,3.57138018E8,2.203453111E9,1.14146817E8,4.95985479E8,1.26787146E9,2.807004798E9,6.888118943E9,1046010.0,1130110.0,1178265.0,1280838.0,1509455.0,332110.0,346472.0,355256.0,346472.0,468722.0,288.75,268.2,68.6,809.75,0.0,482.0,327.75,82.6,399.4,0.0,0.0,793.85,80.75,476.3,317.5,74.95,334.9,66.45,0.0
28,140,236.0,291.0,324.0,366.0,460.0,295.0,349.0,368.0,402.0,561.0,239.0,261.0,275.0,310.0,431.0,276.0,294.0,311.0,381.0,439.0,3590.0,4254.0,4625.0,5290.0,6362.0,2.40472613E8,2.71976409E8,2.89975306E8,3.16557043E8,3.7039746E8,2.31931008E8,2.91157972E8,3.7203498E8,5.09108576E8,6.63053517E8,1.323552602E9,1.434418103E9,1.51364188E9,1.652866278E9,1.938900345E9,9.0531432E7,2.63387952E8,3.3120635E8,3.99931147E8,4.78240987E8,1.42049095E8,7.38713545E8,2.678253257E9,4.057853534E9,1.2749292315E10,1175621.0,1191845.0,1200750.0,1230873.0,1388351.0,363600.0,374049.0,383863.0,374049.0,418589.0,319.5,300.1,66.6,945.2,0.0,541.55,403.65,104.7,436.85,0.0,0.0,795.15,83.0,500.2,294.95,56.95,371.45,71.8,0.0
30,150,223.0,279.0,315.0,361.0,386.0,282.0,343.0,368.0,432.0,478.0,219.0,246.0,289.0,314.0,342.0,264.0,294.0,350.0,362.0,402.0,3856.0,4606.0,4976.0,5338.0,6299.0,2.94124161E8,3.53000714E8,3.74990971E8,4.09733841E8,4.6950965E8,2.81365536E8,3.72813894E8,4.00735405E8,4.54117415E8,7.04518171E8,1.503494271E9,1.685548935E9,1.824050384E9,1.899236452E9,2.388074095E9,1.61167189E8,3.03778663E8,5.17251697E8,6.06752028E8,9.60651872E8,1.16222556E8,5.70939283E8,3.126850323E9,5.532964267E9,1.1643684633E10,1324568.0,1353131.0,1379632.0,1445604.0,1868278.0,402270.0,408297.0,420465.0,408297.0,468614.0,368.65,318.75,78.0,1035.85,0.0,594.5,441.3,116.65,477.8,0.0,0.0,969.15,94.55,577.5,391.65,91.35,409.35,76.7,0.0
32,160,220.0,257.0,300.0,337.0,416.0,210.0,286.0,324.0,385.0,427.0,195.0,228.0,242.0,275.0,351.0,244.0,278.0,313.0,337.0,403.0,3989.0,4302.0,4847.0,5187.0,7098.0,3.75736935E8,4.08989321E8,4.55289333E8,4.71323674E8,5.28375383E8,2.33733566E8,3.39015815E8,4.09318426E8,5.06116076E8,8.68041896E8,1.903222179E9,2.259904651E9,2.464696232E9,2.62251149E9,3.298487236E9,2.48359853E8,3.10759382E8,4.00223305E8,4.4888675E8,5.33373945E8,1.20204258E8,1.022497719E9,2.17206627E9,7.101170209E9,1.04435561935E11,1502979.0,1538550.0,1564924.0,1610995.0,2110845.0,444426.0,447351.0,459088.0,447351.0,516222.0,380.1,364.65,82.35,1142.2,0.0,652.0,490.2,118.85,533.15,0.0,0.0,992.9,97.45,619.45,373.45,70.8,463.25,85.4,0.0
34,170,212.0,234.0,259.0,288.0,343.0,242.0,283.0,301.0,334.0,428.0,187.0,208.0,235.0,253.0,322.0,212.0,248.0,277.0,300.0,414.0,4358.0,4491.0,4876.0,5417.0,6863.0,4.52557854E8,5.04115818E8,5.39862403E8,5.55957153E8,6.07410065E8,2.39337126E8,4.05306334E8,5.30074123E8,6.42268991E8,8.27354563E8,2.441362817E9,2.749829719E9,2.809839838E9,3.061358651E9,3.731388997E9,2.46002384E8,3.76413336E8,4.36839697E8,5.88349706E8,1.422467784E9,1.33974862E8,1.721628398E9,4.183028846E9,6.752887753E9,4.6705974124E10,1664600.0,1705485.0,1742207.0,1869325.0,2607731.0,496605.0,504179.0,513820.0,504179.0,565479.0,410.35,385.05,87.2,1286.0,0.0,722.4,563.6,145.0,577.4,0.0,0.0,1146.1,101.2,695.4,450.7,100.4,508.45,86.55,0.0
36,180,204.0,247.0,281.0,300.0,384.0,230.0,289.0,301.0,318.0,438.0,184.0,206.0,224.0,242.0,261.0,221.0,246.0,263.0,280.0,349.0,4069.0,4533.0,5214.0,5744.0,6575.0,5.05099335E8,5.76700098E8,6.34055009E8,6.93371813E8,7.94539303E8,2.87291371E8,4.15219559E8,5.25333679E8,6.2415396E8,1.015594941E9,2.948455119E9,3.303903569E9,3.511980846E9,3.706369496E9,4.198629488E9,3.03370629E8,3.92531205E8,4.98466147E8,7.02161256E8,2.012630558E9,1.52425047E8,2.593026196E9,6.976906707E9,1.7884788251E10,3.2783142451E10,1707682.0,1869366.0,1967439.0,2005308.0,2586749.0,541312.0,549517.0,561275.0,549517.0,627611.0,442.15,421.9,87.55,1394.65,0.0,781.85,612.8,141.4,640.45,0.0,0.0,1282.2,110.55,743.9,538.3,107.25,545.1,91.55,0.0
38,190,201.0,230.0,243.0,258.0,358.0,241.0,271.0,292.0,319.0,386.0,191.0,205.0,212.0,226.0,305.0,210.0,238.0,249.0,277.0,301.0,4085.0,4517.0,5099.0,5366.0,6620.0,6.64654691E8,7.02343183E8,7.4949519E8,8.00248573E8,8.9502519E8,3.496439E8,4.70762453E8,5.81162415E8,6.78895673E8,1.530926873E9,3.40926451E9,3.879183617E9,4.311977946E9,4.429171323E9,5.751829468E9,3.78056017E8,4.29030634E8,5.5752866E8,6.52422329E8,1.326693538E9,1.75204297E8,3.537987148E9,5.837676381E9,1.2420624185E10,2.3790463423E10,1706977.0,2086030.0,2096136.0,2131007.0,2392958.0,566008.0,595187.0,612110.0,595187.0,683580.0,479.3,462.8,91.4,1576.8,0.0,872.5,704.3,194.65,677.85,0.0,0.0,1312.35,114.1,784.1,528.25,116.9,572.85,94.35,0.0
40,200,194.0,230.0,265.0,280.0,320.0,218.0,247.0,266.0,285.0,369.0,175.0,195.0,210.0,224.0,275.0,213.0,236.0,248.0,269.0,318.0,4249.0,4605.0,4835.0,5174.0,5432.0,7.00949328E8,8.24528606E8,8.61946626E8,9.24940929E8,1.10670782E9,4.03717259E8,5.06503876E8,6.33772427E8,7.34824323E8,1.344257212E9,3.755735354E9,4.561778423E9,4.80087198E9,5.103753936E9,5.81721455E9,4.06291803E8,5.00136608E8,5.94999628E8,9.15710817E8,1.911901365E9,2.12881666E8,1.158946958E9,3.237277066E9,1.1989917224E10,6.2018974366E10,2230182.0,2284179.0,2336632.0,2370141.0,2509136.0,647593.0,659639.0,673726.0,659639.0,762401.0,508.55,482.05,97.1,1638.2,0.0,916.55,721.65,170.7,745.85,0.0,0.0,1510.6,115.15,881.0,629.6,146.95,639.35,94.7,0.0
42,210,158.0,199.0,215.0,232.0,269.0,217.0,238.0,261.0,291.0,342.0,159.0,186.0,191.0,200.0,232.0,183.0,217.0,232.0,239.0,259.0,3930.0,4764.0,5205.0,5557.0,6671.0,8.64612314E8,9.6188198E8,1.014089666E9,1.145961904E9,1.361215967E9,4.5938232E8,6.10906949E8,6.63722646E8,8.47785885E8,1.170691884E9,4.99933404E9,5.384201337E9,5.480369226E9,5.991076551E9,6.65525512E9,3.86034649E8,5.6912064E8,6.71033785E8,8.16733656E8,9.97488384E8,2.15914697E8,5.66703199E8,8.259566399E9,2.3402853768E10,3.26876284646E11,2446069.0,2505905.0,2542255.0,2622337.0,2754175.0,694805.0,698882.0,717934.0,698882.0,788418.0,549.05,507.95,100.65,1833.05,0.0,993.4,839.65,204.6,788.8,0.0,0.0,1548.35,118.7,895.55,652.8,135.35,661.2,99.0,0.0
44,220,169.0,201.0,213.0,228.0,249.0,193.0,218.0,241.0,259.0,324.0,157.0,173.0,195.0,209.0,236.0,187.0,209.0,214.0,225.0,254.0,4368.0,4777.0,5222.0,5811.0,6988.0,1.01592046E9,1.154645934E9,1.193810255E9,1.276000966E9,1.529340552E9,5.85670822E8,6.89568356E8,7.44761188E8,7.96412452E8,9.48730058E8,5.802484711E9,6.190694981E9,6.660081548E9,6.833277172E9,8.322987424E9,6.02511093E8,7.05977913E8,9.27337759E8,1.239805371E9,1.546081346E9,2.50523219E8,3.615378431E9,6.977040571E9,6.2118014398E10,1.05185377776E11,2404612.0,2755764.0,2824269.0,2885392.0,2992586.0,742051.0,776138.0,783578.0,776138.0,834167.0,588.95,543.3,104.2,1848.5,0.0,1030.15,818.35,200.1,830.05,0.0,0.0,1886.7,134.95,1066.45,820.25,202.25,753.5,110.7,0.0
46,230,159.0,182.0,199.0,209.0,314.0,209.0,224.0,236.0,257.0,286.0,153.0,163.0,176.0,191.0,212.0,172.0,190.0,203.0,229.0,270.0,4396.0,4879.0,5137.0,5548.0,5910.0,1.190423266E9,1.292378466E9,1.403837751E9,1.457507415E9,1.561237997E9,6.05175871E8,7.18124254E8,7.73910274E8,9.17499755E8,1.180096887E9,6.010928479E9,7.321549785E9,8.115853473E9,8.719158836E9,9.399669699E9,5.91049749E8,6.77963522E8,8.05872976E8,9.3466503E8,2.104322005E9,2.75988378E8,2.422312842E9,1.0095638256E10,1.4476904094E10,2.31341612124E11,2540789.0,3010707.0,3054823.0,3098324.0,3397685.0,824757.0,834991.0,857813.0,834991.0,920566.0,617.25,587.55,109.45,1971.55,0.0,1083.0,888.55,209.75,873.25,0.0,0.0,1862.2,132.6,1063.4,798.8,154.4,796.45,112.55,0.0
48,240,169.0,181.0,200.0,216.0,285.0,189.0,217.0,230.0,258.0,332.0,153.0,170.0,179.0,198.0,236.0,178.0,207.0,215.0,239.0,253.0,4064.0,4498.0,4988.0,5853.0,6450.0,1.220241121E9,1.514605193E9,1.622381655E9,1.690355259E9,1.752156351E9,7.25627217E8,8.57577983E8,1.015875721E9,1.130168962E9,1.382268128E9,7.571955215E9,8.755103108E9,9.221627389E9,1.020523714E10,1.1487302052E10,6.81794708E8,8.10522138E8,8.80079501E8,9.62967316E8,1.64804473E9,2.61142103E8,2.9905976E8,3.428378441E9,1.5587617796E10,5.5996742691E10,2823405.0,3346950.0,3385600.0,3483560.0,3579513.0,853199.0,885821.0,903198.0,885821.0,953770.0,645.5,628.05,111.3,2289.55,0.0,1222.8,1066.75,263.85,958.95,0.0,0.0,1919.7,134.7,1111.35,808.35,164.2,832.45,114.7,0.0
