m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
78,390,12.0,13.0,14.0,14.0,15.0,13.0,13.0,14.0,14.0,15.0,12.0,13.0,13.0,14.0,14.0,12.0,13.0,14.0,15.0,15.0,14.0,16.0,17.0,18.0,20.0,8.87307347E8,1.028413416E9,1.135634134E9,1.240868646E9,1.733795872E9,1.42604415E8,2.03416119E8,2.37105264E8,2.89248326E8,4.74425072E8,5.21796823E9,6.396748039E9,6.899176208E9,8.185992979E9,1.0601347047E10,1.56783496E8,1.97986183E8,2.08528686E8,2.83323655E8,4.94115072E8,2.4111663E7,2.8219925E7,2.885447E7,3.0655629E7,3.4375644E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,96.85,4.35,176.5,0.0,53.1,123.4,1.5,51.6,0.0,0.0,178.2,1.8,53.9,124.3,2.45,49.9,1.55,0.0
80,400,12.0,13.0,14.0,15.0,16.0,12.0,13.0,14.0,15.0,17.0,12.0,13.0,14.0,15.0,17.0,12.0,13.0,14.0,15.0,17.0,15.0,16.0,16.0,18.0,22.0,7.47904876E8,1.133532112E9,1.22778317E9,1.387958195E9,1.551206696E9,1.86660724E8,2.30752927E8,2.50223833E8,3.23950358E8,4.96246558E8,5.337715221E9,6.996520128E9,7.375357696E9,8.128207637E9,1.0299570639E10,1.71949385E8,2.20323898E8,2.79429225E8,3.14741696E8,3.83307696E8,2.6681053E7,2.9838986E7,3.0159085E7,3.3429028E7,4.6210145E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,100.75,4.25,187.1,0.0,56.1,131.0,1.75,54.35,0.0,0.0,187.5,2.2,59.45,128.05,2.4,55.25,1.8,0.0
82,410,12.0,12.0,13.0,14.0,15.0,12.0,12.0,13.0,13.0,15.0,12.0,12.0,13.0,14.0,15.0,12.0,13.0,13.0,14.0,15.0,14.0,15.0,16.0,18.0,19.0,9.70866013E8,1.127770096E9,1.311362977E9,1.428074785E9,1.690478294E9,1.87465038E8,2.13493367E8,2.51818295E8,3.01166393E8,3.53340783E8,5.780491034E9,6.146161505E9,7.148749727E9,8.22499575E9,1.0930765245E10,1.79962579E8,1.97919443E8,2.4116199E8,2.98326758E8,3.77097359E8,2.7452207E7,3.1176086E7,3.1726084E7,3.215908E7,3.9141786E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,91.7,4.8,181.4,0.0,52.75,128.65,1.7,51.05,0.0,0.0,179.85,2.15,51.9,127.95,1.55,48.45,1.9,0.0
84,420,11.0,13.0,13.0,14.0,17.0,12.0,13.0,13.0,14.0,17.0,11.0,12.0,13.0,14.0,17.0,12.0,13.0,13.0,14.0,17.0,14.0,16.0,17.0,17.0,18.0,1.115970868E9,1.286441661E9,1.421359662E9,1.514951815E9,1.611977206E9,2.00924659E8,2.51292474E8,2.98209683E8,3.86050567E8,5.50091565E8,5.840705736E9,7.418738346E9,8.581628771E9,9.085290306E9,1.3207959704E10,2.13324476E8,2.44836865E8,2.83117001E8,3.64022338E8,4.47017359E8,2.9108919E7,3.3141867E7,3.3732176E7,3.4711017E7,4.1698649E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,97.7,4.5,179.15,0.0,53.8,125.35,1.35,52.45,0.0,0.0,205.2,1.85,53.8,151.4,1.25,50.95,1.6,0.0
86,430,11.0,12.0,12.0,13.0,14.0,11.0,12.0,13.0,13.0,14.0,11.0,12.0,12.0,13.0,14.0,12.0,12.0,13.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,1.009218213E9,1.328074152E9,1.412572597E9,1.51285654E9,2.156876084E9,2.15339678E8,2.51992526E8,2.83365208E8,3.1705218E8,3.84186366E8,6.31699959E9,7.674055538E9,8.752124073E9,8.969921364E9,1.1269155976E10,1.98013184E8,2.27965339E8,2.79372642E8,3.1831783E8,4.32179289E8,3.3287305E7,3.4564451E7,3.4993883E7,3.570129E7,5.1225597E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,96.7,4.2,191.45,0.0,54.2,137.25,1.15,53.05,0.0,0.0,190.55,1.85,54.55,136.0,2.35,50.8,1.4,0.0
88,440,11.0,12.0,13.0,13.0,13.0,11.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0,15.0,16.0,18.0,1.203980953E9,1.370598335E9,1.54647877E9,1.794014281E9,2.006991804E9,2.18041927E8,2.54299877E8,2.81756173E8,3.60923527E8,4.744675E8,6.386513853E9,8.439478494E9,8.977376064E9,1.0277347088E10,1.2971203326E10,1.64306628E8,2.59117356E8,3.13294441E8,3.53156263E8,4.90743722E8,3.3890922E7,3.4725425E7,3.6807293E7,3.8180505E7,4.0906195E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,98.35,4.75,191.85,0.0,55.2,136.65,2.0,53.2,0.0,0.0,190.95,1.85,53.55,137.4,1.9,50.0,1.65,0.0
90,450,11.0,12.0,12.0,13.0,14.0,11.0,12.0,12.0,13.0,14.0,11.0,12.0,12.0,13.0,14.0,11.0,12.0,12.0,13.0,14.0,13.0,14.0,15.0,16.0,18.0,1.02320258E9,1.516077649E9,1.634577554E9,1.774285949E9,2.133947219E9,2.04510575E8,2.84910798E8,3.34639027E8,4.54889085E8,5.81143965E8,6.350265459E9,9.068716605E9,9.365767631E9,1.1384535783E10,1.3935205739E10,2.17186281E8,2.73692441E8,2.93938808E8,3.55275514E8,4.86668707E8,3.3618539E7,3.8644864E7,3.9468419E7,4.1212813E7,7.7133136E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,98.5,3.5,197.0,0.0,54.1,142.9,1.5,52.6,0.0,0.0,198.05,1.85,55.85,142.2,2.15,52.25,1.45,0.0
92,460,11.0,12.0,12.0,13.0,14.0,11.0,12.0,13.0,13.0,14.0,12.0,12.0,12.0,13.0,14.0,11.0,12.0,13.0,13.0,14.0,13.0,14.0,15.0,15.0,16.0,1.302720315E9,1.512816022E9,1.597382005E9,1.723581944E9,2.374468273E9,1.98561894E8,2.76437442E8,3.1052568E8,3.63321256E8,4.26669397E8,6.993488668E9,8.337071701E9,9.940455392E9,1.1768346367E10,1.3189187146E10,2.03518261E8,2.75748754E8,3.23873919E8,4.16928593E8,5.55296832E8,3.4928707E7,3.8324799E7,4.0970872E7,4.2226847E7,5.7792153E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,102.65,4.45,195.15,0.0,54.8,140.35,1.7,53.1,0.0,0.0,239.35,1.55,53.45,185.9,2.15,50.1,1.2,0.0
94,470,11.0,11.0,12.0,12.0,13.0,11.0,12.0,12.0,13.0,13.0,11.0,11.0,12.0,12.0,13.0,11.0,12.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,17.0,1.495528316E9,1.642405016E9,1.816396486E9,1.977528807E9,2.19160946E9,2.25101692E8,2.82239149E8,3.02428728E8,4.09249649E8,5.38815852E8,7.878876166E9,1.0036399226E10,1.1552008638E10,1.3259550386E10,1.4693788564E10,2.81307536E8,3.20427281E8,3.87045106E8,4.35488502E8,5.89406266E8,3.8620183E7,4.1881184E7,4.2955125E7,4.701629E7,5.900517E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8,104.85,4.35,207.45,0.0,54.5,152.95,1.4,53.1,0.0,0.0,238.1,1.15,53.95,184.15,2.05,50.95,0.95,0.0
96,480,10.0,11.0,12.0,12.0,14.0,10.0,11.0,12.0,12.0,14.0,10.0,11.0,12.0,12.0,14.0,11.0,11.0,12.0,12.0,14.0,12.0,14.0,15.0,16.0,18.0,1.365303947E9,1.75682269E9,1.902028625E9,2.136830264E9,2.720056183E9,2.22129551E8,2.75782054E8,3.51596326E8,4.17094821E8,5.77532701E8,7.405992735E9,1.0632422892E10,1.1277754206E10,1.2108906889E10,1.6137400687E10,2.29938709E8,2.99043093E8,3.45055146E8,4.08594877E8,5.95431769E8,4.0546888E7,4.2059234E7,4.4729071E7,4.8076612E7,6.6530457E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,96.05,4.85,207.6,0.0,53.4,154.2,2.2,51.2,0.0,0.0,219.5,1.7,53.55,165.95,2.1,49.9,1.55,0.0
98,490,10.0,11.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,13.0,10.0,11.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,16.0,20.0,1.354404258E9,1.908250951E9,2.086098161E9,2.462937766E9,2.728944391E9,2.45252854E8,3.09510249E8,3.56156632E8,3.97433577E8,5.05144244E8,9.446053773E9,1.1099703914E10,1.2443035179E10,1.2934945047E10,1.4533497863E10,2.22505E8,2.98158068E8,3.5278496E8,4.17708953E8,4.82232799E8,4.0514199E7,4.5902903E7,4.6122919E7,4.7275236E7,4.9275196E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,100.35,4.85,211.65,0.0,55.8,155.85,1.4,54.4,0.0,0.0,238.65,1.6,53.15,185.5,2.0,49.8,1.35,0.0
100,500,10.0,11.0,11.0,12.0,13.0,10.0,11.0,11.0,12.0,13.0,10.0,11.0,11.0,12.0,12.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,15.0,17.0,1.61187958E9,1.909090598E9,2.09306069E9,2.291778362E9,2.643023335E9,3.01180556E8,3.60790981E8,3.76460779E8,4.19958761E8,5.2940784E8,9.277939209E9,1.1114241686E10,1.1856908437E10,1.3371667966E10,1.6706355474E10,2.70382952E8,3.25587257E8,4.17923713E8,4.73132405E8,5.42303686E8,4.2966251E7,4.4763999E7,4.6694715E7,4.84066E7,4.9421634E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,102.15,5.45,231.05,0.0,56.65,174.4,1.85,54.8,0.0,0.0,214.75,1.8,55.9,158.85,1.6,52.8,1.5,0.0
