m,n,meanGiftSolvercmax,varGiftSolvercmax,meanDistributedGiftSolvercmax,varDistributedGiftSolvercmaxmeanSwapSolvercmax,varSwapSolvercmaxmeanDistributedSwapSolvercmax,varDistributedSwapSolvercmaxmeanRefSolvercmax,varRefSolvercmaxmeanGiftSolverTime,varGiftSolverTime,meanDistributedGiftSolverTime,varDistributedGiftSolverTimemeanSwapSolverTime,varSwapSolverTime,meanDistributedSwapSolverTime,varDistributedSwapSolverTimemeanRefSolverTime,varRefSolverTime
2,10,314.78,2971.8115999999995,314.5,3002.61,304.99,2619.2299,314.05,2971.8075000000017,325.65,3011.1475000000005,673357.83,1.1736701145658809E12,2.29914133E7,1.599626977214601E14,1368609.5,9.8806365637543E11,2.814720496E7,3.995852429827695E14,155331.29,3.312920451100459E11
4,20,307.13,1074.6931000000002,306.79,1039.7458999999997,290.3,892.1699999999996,305.13,1005.2530999999997,327.14,1217.5204,1050838.55,1.6084228909136752E11,2.090045638E7,1.0954114670410742E14,7108398.65,3.8109663013038276E12,2.937403943E7,4.5539099735604206E14,181121.41,1.52899638387419E10
6,30,306.71,862.9059000000001,306.53,813.1090999999998,286.45,669.3075000000005,305.01,852.0498999999996,329.78,882.3315999999999,2965632.53,1.397181174087669E12,2.341608879E7,1.6765819722031588E14,1.510086852E7,1.103172648950351E13,3.402936095E7,6.923971568346136E14,377237.61,2.712319904965789E10
8,40,301.74,922.9124000000004,300.17,856.0611,277.26,596.2124,298.93,804.3051,325.78,818.4316000000002,4945745.77,2.9122093468941577E12,2.324130294E7,1.5955122677383188E14,2.476811716E7,3.980218479721805E13,3.476766369E7,7.978926345446864E14,588701.97,3.60663115932691E10
10,50,304.58,767.0436000000002,302.19,695.9938999999998,277.37,427.61310000000003,301.0,666.42,330.71,586.8858999999998,7077026.64,2.98542405104871E12,2.549089858E7,1.3597965565161986E14,4.294531158E7,1.0998737036523773E14,3.926453661E7,1.1801846844721722E15,1063280.35,5.659583091917275E11
12,60,304.66,554.5444,302.42,536.1835999999996,277.06,345.19640000000015,300.17,518.0010999999998,330.32,538.7176000000001,8659802.62,2.8083177450390957E12,2.889634415E7,1.834977516725349E14,6.585184197E7,1.825379605103414E14,5.287850241E7,2.591034551719323E15,1029505.08,1.0992403897539355E11
14,70,303.44,464.88640000000015,302.97,488.30909999999994,276.68,290.93760000000003,301.02,394.39960000000036,331.62,431.13560000000007,1.095839427E7,5.625970509434017E12,3.081827637E7,2.0676031911810047E14,1.0447365044E8,4.753880913230304E14,5.5289083E7,1.6819710821519272E15,1090679.49,3.4043722234889893E10
16,80,303.87,353.25310000000013,302.76,350.8824000000001,276.26,246.87240000000006,301.33,389.70109999999977,333.58,333.68359999999996,1.49413279E7,7.48901104334461E12,3.588844923E7,2.1850973314716962E14,1.5409615649E8,7.598267800742034E14,5.715020076E7,1.7405837327552055E15,1234636.98,2.2572699046305957E11
18,90,303.59,349.6019,301.48,330.68959999999987,273.68,237.5576000000001,299.28,353.7416000000001,332.5,351.63,2.090916564E7,2.0038539325073973E13,4.010793511E7,2.3308977581544225E14,2.212312984E8,1.6055226362208665E15,7.106236727E7,5.200455988018182E15,1372554.13,1.25290313238531E10
20,100,302.01,435.1499000000003,300.58,371.1636000000001,272.71,237.3058999999999,298.0,367.54,330.52,348.56959999999987,2.79380562E7,3.758516189485603E13,4.575001162E7,2.746535815518899E14,2.9165891212E8,2.4470163094840155E15,6.799826073E7,1.991947906197328E15,1712780.71,1.0623654957022589E11
22,110,298.34,338.5844,298.11,345.2979,270.71,220.14589999999995,297.45,341.2875,328.75,328.1275,3.899145802E7,4.41008326806089E13,5.204556467E7,2.692647562471377E14,3.9950504263E8,4.28439088931321E15,7.610288053E7,2.2779872563123335E15,2140336.25,3.855367963739475E11
24,120,296.43,226.34510000000003,296.65,256.60749999999996,269.15,117.16749999999995,294.09,214.1219,325.63,256.63310000000007,5.22009427E7,9.020619960439705E13,5.867830313E7,1.9569799923854072E14,5.1436607787E8,6.935889950888653E15,8.209325601E7,2.359486069136989E15,2518259.64,4.19129557942104E10
26,130,297.62,283.23560000000015,298.19,310.77389999999997,269.91,167.00190000000003,295.89,272.93789999999996,329.6,240.71999999999997,6.640890245E7,1.6585703877056694E14,6.275696699E7,2.2946874347062653E14,6.6110359602E8,1.388427571367605E16,8.733512712E7,2.0251195340147745E15,3167371.1,1.1038318011277502E12
28,140,301.12,218.04559999999972,301.07,271.12509999999986,271.85,160.60749999999996,298.07,236.20510000000002,331.11,221.21790000000007,8.179367201E7,2.0083856690834303E14,7.037896157E7,3.202363556188366E14,8.3132111468E8,2.1287712576410524E16,9.031167919E7,1.539146305809747E15,3877653.77,2.7234375032827373E12
30,150,301.12,313.1655999999999,300.18,278.7276,271.81,154.17389999999995,298.21,249.04590000000005,331.39,240.93789999999987,1.004110544E8,2.924729048085614E14,7.437759347E7,3.0393596095530425E14,1.01814206357E9,3.31083609988623E16,1.0037433407E8,1.2465239779790168E15,4135536.65,2.362456426869247E12
32,160,301.49,271.10990000000015,301.75,289.7075,270.9,163.73000000000013,298.98,268.0396000000003,330.2,234.58000000000007,1.2311210123E8,3.9363325139683775E14,8.072168777E7,2.795613528577773E14,1.23746126458E9,3.88573023695572E16,1.2886373592E8,4.40616249567275E15,4584761.64,9.019308646479703E11
