n,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedswapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,swap4swap,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
112,4992.0,5751.0,6045.0,6370.0,7044.0,50950.0,54444.0,56567.0,57686.0,63630.0,1362.0,1498.0,1559.0,1604.0,1828.0,8.23300563E8,8.58837761E8,8.76761687E8,9.03225869E8,9.4976962E8,3.98425945E8,4.62664278E8,4.85596192E8,5.146262E8,6.28649138E8,4.7160432E7,5.870261E7,6.6393245E7,7.2099734E7,8.3776959E7,98.0,6735.0,0.0,0.0,6735.0,0.0,0.0,0.0,0.0
114,5035.0,5445.0,6026.0,6452.0,6910.0,52930.0,55490.0,56899.0,58306.0,61660.0,1358.0,1446.0,1562.0,1612.0,1671.0,8.76106631E8,9.16259766E8,9.35910412E8,9.64097154E8,1.040936102E9,3.95646198E8,4.57659027E8,4.97914357E8,5.30290052E8,5.57264123E8,5.2346753E7,5.8391002E7,6.3919527E7,7.280618E7,8.2555942E7,98.85,6937.65,0.0,0.0,6937.65,0.0,0.0,0.0,0.0
116,5041.0,5553.0,5890.0,6487.0,7230.0,51132.0,56664.0,57899.0,60365.0,65407.0,1214.0,1474.0,1577.0,1729.0,1795.0,9.38919584E8,9.61526658E8,9.83445319E8,1.007347298E9,1.041395662E9,4.20674094E8,4.81984178E8,5.36631947E8,5.51854024E8,5.93784237E8,5.10408E7,6.0679518E7,6.5281783E7,7.4586058E7,8.5217243E7,102.95,7268.4,0.0,0.0,7268.4,0.0,0.0,0.0,0.0
118,4689.0,5414.0,5945.0,6381.0,6897.0,52173.0,57316.0,60057.0,62285.0,65192.0,1353.0,1456.0,1549.0,1598.0,1811.0,9.35137828E8,1.00547525E9,1.024131896E9,1.053880857E9,1.097742016E9,4.20614303E8,4.97693706E8,5.20792846E8,5.38037284E8,6.02170593E8,5.1056914E7,7.0896784E7,8.0541026E7,8.9369037E7,1.12733503E8,101.85,7481.8,0.0,0.0,7481.8,0.0,0.0,0.0,0.0
120,5048.0,5803.0,6136.0,6278.0,6822.0,52544.0,57932.0,61521.0,63643.0,65127.0,1321.0,1524.0,1558.0,1646.0,1771.0,1.0377212E9,1.059795701E9,1.086275647E9,1.127631863E9,1.242633387E9,4.77733247E8,5.24674084E8,5.4394596E8,5.80568228E8,6.71577457E8,5.7021368E7,7.1297064E7,7.4916776E7,8.6868858E7,1.20787552E8,104.65,7805.35,0.0,0.0,7805.35,0.0,0.0,0.0,0.0
122,5079.0,5920.0,6270.0,6510.0,7029.0,55509.0,60890.0,62938.0,64500.0,69820.0,1359.0,1475.0,1605.0,1670.0,1740.0,1.077456539E9,1.126074611E9,1.14633831E9,1.180331635E9,1.235514337E9,4.40295808E8,5.32770183E8,5.63269879E8,5.98979418E8,6.93591236E8,6.4817244E7,7.5863735E7,8.6649736E7,9.4892579E7,1.17358368E8,108.95,8117.5,0.0,0.0,8117.5,0.0,0.0,0.0,0.0
124,5402.0,6055.0,6223.0,6518.0,7375.0,55975.0,60041.0,61192.0,62716.0,66757.0,1314.0,1506.0,1540.0,1625.0,1766.0,1.116986894E9,1.163296408E9,1.186088974E9,1.219887452E9,1.263098383E9,4.84072474E8,5.27652072E8,5.59381643E8,5.81704868E8,7.74306783E8,5.5410869E7,7.9117165E7,8.7316361E7,9.6789419E7,1.13826102E8,108.05,8053.85,0.0,0.0,8053.85,0.0,0.0,0.0,0.0
126,5485.0,5907.0,6124.0,6497.0,7179.0,60549.0,61125.0,62978.0,65347.0,68608.0,1290.0,1486.0,1555.0,1592.0,1737.0,1.194598682E9,1.254162012E9,1.261733197E9,1.289728742E9,1.39582225E9,5.03312791E8,5.51596591E8,5.72393975E8,6.25527671E8,8.55139367E8,7.0405737E7,8.3227275E7,9.463858E7,1.04215226E8,1.13414967E8,111.5,8426.25,0.0,0.0,8426.25,0.0,0.0,0.0,0.0
128,5609.0,6240.0,6397.0,6609.0,7295.0,59120.0,62705.0,63830.0,66693.0,73095.0,1378.0,1466.0,1571.0,1653.0,1840.0,1.22106143E9,1.296890189E9,1.322339673E9,1.353724799E9,1.48347709E9,5.37572452E8,5.76212329E8,6.14000318E8,6.29108206E8,6.79243999E8,7.4092252E7,8.4133489E7,9.8996183E7,1.07745627E8,1.17249275E8,114.25,8678.6,0.0,0.0,8678.6,0.0,0.0,0.0,0.0
130,5531.0,5916.0,6368.0,6730.0,7766.0,58844.0,63375.0,66463.0,68238.0,71832.0,1370.0,1462.0,1545.0,1593.0,1761.0,1.315436798E9,1.353192216E9,1.369466532E9,1.406594122E9,1.49509262E9,4.97576493E8,5.88898965E8,6.4802762E8,6.79249206E8,7.86382736E8,8.0301954E7,9.6702403E7,1.09536747E8,1.16013281E8,1.30761062E8,116.65,8952.3,0.0,0.0,8952.3,0.0,0.0,0.0,0.0
132,5956.0,6241.0,6590.0,6662.0,7248.0,60781.0,64796.0,66325.0,69832.0,76731.0,1404.0,1519.0,1552.0,1630.0,1698.0,1.345807946E9,1.414493611E9,1.471005662E9,1.486411596E9,1.602715227E9,5.47054294E8,6.08854133E8,6.23463591E8,6.71283615E8,7.91754106E8,8.1081981E7,9.2268423E7,1.13930832E8,1.29685731E8,1.4334514E8,116.55,9270.7,0.0,0.0,9270.7,0.0,0.0,0.0,0.0
134,5669.0,6179.0,6504.0,6944.0,7168.0,61089.0,65845.0,67216.0,69498.0,71054.0,1333.0,1482.0,1553.0,1616.0,1749.0,1.441431192E9,1.46483428E9,1.511777503E9,1.556398542E9,1.684990499E9,5.61213226E8,6.29745235E8,6.55867697E8,6.71502386E8,7.51319937E8,8.2002363E7,9.7168411E7,1.07327964E8,1.15632236E8,1.60593807E8,118.7,9391.25,0.0,0.0,9391.25,0.0,0.0,0.0,0.0
136,5788.0,6041.0,6332.0,6562.0,7334.0,63830.0,68034.0,68819.0,71192.0,76666.0,1321.0,1478.0,1525.0,1627.0,1782.0,1.500417265E9,1.561862539E9,1.599911336E9,1.657675719E9,1.736964425E9,6.49019399E8,6.68412651E8,7.05209183E8,7.40121141E8,7.70511849E8,7.7589487E7,1.13298554E8,1.2754712E8,1.41857718E8,1.55025822E8,120.25,9907.75,0.0,0.0,9907.75,0.0,0.0,0.0,0.0
138,5443.0,6227.0,6497.0,6766.0,7811.0,62441.0,67779.0,69734.0,71894.0,75591.0,1372.0,1445.0,1524.0,1595.0,1785.0,1.578782437E9,1.630364942E9,1.675185318E9,1.70852991E9,1.780565849E9,5.92567367E8,6.823254E8,7.11897101E8,7.65655798E8,8.48361042E8,9.0935178E7,1.14781952E8,1.33082791E8,1.48018509E8,1.91030986E8,123.8,10047.3,0.0,0.0,10047.3,0.0,0.0,0.0,0.0
140,5753.0,6360.0,6735.0,7104.0,7417.0,61084.0,67427.0,70703.0,73885.0,74878.0,1412.0,1500.0,1549.0,1611.0,1768.0,1.603742392E9,1.708803019E9,1.747472234E9,1.775481108E9,1.853105266E9,5.81377849E8,6.90728585E8,7.19619463E8,7.6381448E8,8.43747641E8,9.7848571E7,1.22239414E8,1.32023886E8,1.44206074E8,1.53125334E8,125.35,10260.55,0.0,0.0,10260.55,0.0,0.0,0.0,0.0
142,5382.0,6032.0,6492.0,7036.0,7738.0,66622.0,69718.0,70553.0,72039.0,75519.0,1376.0,1463.0,1548.0,1703.0,1794.0,1.732565089E9,1.815349706E9,1.842892504E9,1.891712803E9,1.976085471E9,6.72040417E8,7.14085862E8,7.50485147E8,8.16142499E8,9.18948577E8,1.14025799E8,1.21932018E8,1.42418816E8,1.47832705E8,1.75732706E8,128.95,10496.5,0.0,0.0,10496.5,0.0,0.0,0.0,0.0
144,5828.0,6340.0,6496.0,6707.0,7498.0,67411.0,70301.0,71956.0,74067.0,75409.0,1331.0,1491.0,1528.0,1609.0,1695.0,1.818643683E9,1.898107966E9,1.918487798E9,1.971553539E9,2.127409648E9,6.98043475E8,7.29782693E8,7.59602097E8,7.80955695E8,9.1422207E8,1.06214809E8,1.37879074E8,1.59385373E8,1.81686981E8,2.01811047E8,132.2,10797.85,0.0,0.0,10797.85,0.0,0.0,0.0,0.0
146,5599.0,6151.0,6434.0,6822.0,6974.0,66058.0,71833.0,74121.0,75974.0,80721.0,1369.0,1471.0,1526.0,1590.0,1885.0,1.916410038E9,1.961808225E9,2.013816418E9,2.050614449E9,2.276365817E9,6.76939185E8,7.84105893E8,8.07429409E8,8.42794757E8,9.24108512E8,1.12224924E8,1.3588861E8,1.53405058E8,2.00715787E8,2.12582213E8,135.05,11277.85,0.0,0.0,11277.85,0.0,0.0,0.0,0.0
148,5711.0,6216.0,6769.0,7287.0,7762.0,69158.0,73174.0,75374.0,77360.0,81935.0,1419.0,1473.0,1539.0,1661.0,1769.0,1.986722836E9,2.042597694E9,2.070247437E9,2.120884917E9,2.298726192E9,7.69188965E8,8.10215441E8,8.59718202E8,8.89968649E8,9.3529367E8,1.33868388E8,1.43530021E8,1.63602269E8,1.89089355E8,2.24348441E8,134.1,11654.1,0.0,0.0,11654.1,0.0,0.0,0.0,0.0
150,5968.0,6406.0,6660.0,7358.0,7650.0,65755.0,72581.0,74713.0,77033.0,81580.0,1370.0,1474.0,1608.0,1642.0,1739.0,1.985770655E9,2.0963815E9,2.149443731E9,2.216120695E9,2.649252664E9,7.23582858E8,7.97242969E8,8.4646312E8,8.70019076E8,9.36225123E8,1.49232669E8,1.71136795E8,1.76238547E8,2.00611375E8,2.63724816E8,136.6,11626.35,0.0,0.0,11626.35,0.0,0.0,0.0,0.0
152,5860.0,6279.0,6639.0,6860.0,7551.0,73885.0,75493.0,77600.0,79871.0,82547.0,1348.0,1461.0,1512.0,1621.0,1684.0,2.108816529E9,2.185346799E9,2.268364672E9,2.308546783E9,2.371362369E9,7.87012674E8,8.80735627E8,9.01538945E8,9.27817206E8,9.96770445E8,1.3123117E8,1.63604834E8,1.7411397E8,1.86783946E8,2.12813134E8,141.0,12297.0,0.0,0.0,12297.0,0.0,0.0,0.0,0.0
154,6120.0,6523.0,6886.0,7181.0,8223.0,70266.0,74395.0,75805.0,78247.0,83579.0,1306.0,1442.0,1516.0,1609.0,1726.0,2.125419588E9,2.26807142E9,2.323641911E9,2.35722082E9,2.464307761E9,7.90353026E8,8.58874029E8,8.79522559E8,9.37019283E8,1.017100341E9,1.33451336E8,1.68200741E8,1.86755072E8,2.1572298E8,2.37676941E8,140.8,12301.8,0.0,0.0,12301.8,0.0,0.0,0.0,0.0
156,5857.0,6492.0,6807.0,7217.0,7629.0,72425.0,76782.0,78253.0,79814.0,87247.0,1446.0,1508.0,1545.0,1568.0,1721.0,2.315658588E9,2.392613947E9,2.429303699E9,2.506519565E9,2.606257031E9,8.62109956E8,9.07456585E8,9.49149797E8,9.97720788E8,1.132061527E9,1.31300517E8,1.86992334E8,2.03113847E8,2.22820126E8,2.51749817E8,143.6,12845.8,0.0,0.0,12845.8,0.0,0.0,0.0,0.0
158,5918.0,6492.0,6674.0,6991.0,7990.0,74756.0,77546.0,80722.0,81984.0,88711.0,1320.0,1434.0,1550.0,1649.0,1685.0,2.383800018E9,2.549666852E9,2.601072141E9,2.686116462E9,2.76071161E9,9.10201406E8,9.42057659E8,9.99192966E8,1.108856388E9,1.263124519E9,1.46335067E8,1.81122957E8,1.98061597E8,2.30865959E8,2.54847045E8,142.75,13335.3,0.0,0.0,13335.3,0.0,0.0,0.0,0.0
160,6217.0,6440.0,6786.0,7530.0,8133.0,73320.0,79315.0,80617.0,83792.0,84477.0,1334.0,1424.0,1505.0,1633.0,1805.0,2.488319323E9,2.592597337E9,2.647400008E9,2.796675829E9,2.864978221E9,9.025827E8,9.63704318E8,1.003525012E9,1.054138777E9,1.450592448E9,1.60476471E8,2.04644004E8,2.38103701E8,2.73550144E8,3.45168069E8,145.05,13468.1,0.0,0.0,13468.1,0.0,0.0,0.0,0.0
162,5720.0,6418.0,6767.0,7435.0,8326.0,71790.0,78700.0,80661.0,82615.0,88528.0,1366.0,1497.0,1527.0,1649.0,1681.0,2.595277837E9,2.713529329E9,2.76564846E9,2.840650466E9,2.936735654E9,9.23777584E8,9.4659936E8,1.016754781E9,1.070285596E9,1.193125666E9,1.8854347E8,2.27161535E8,2.40480608E8,2.49365134E8,2.89595377E8,149.7,13550.35,0.0,0.0,13550.35,0.0,0.0,0.0,0.0
164,5998.0,6633.0,7019.0,7424.0,7687.0,76943.0,80839.0,82727.0,85440.0,87992.0,1383.0,1486.0,1543.0,1619.0,1726.0,2.731579404E9,2.879552696E9,2.941283457E9,2.988024975E9,3.087459307E9,9.81357832E8,1.034275371E9,1.069111132E9,1.121410396E9,1.227476685E9,1.85331563E8,2.13855201E8,2.56933772E8,2.75126669E8,2.9439279E8,149.8,14162.95,0.0,0.0,14162.95,0.0,0.0,0.0,0.0
166,6149.0,6909.0,7240.0,7475.0,8425.0,76002.0,79752.0,82057.0,84881.0,86965.0,1351.0,1461.0,1494.0,1572.0,1758.0,2.732180193E9,2.855650167E9,2.97342499E9,3.083713806E9,3.502239997E9,9.702676E8,1.027799918E9,1.062911187E9,1.088665513E9,1.236451416E9,1.83701418E8,2.12724827E8,2.27534166E8,2.61348814E8,3.58034226E8,151.6,14068.4,0.0,0.0,14068.4,0.0,0.0,0.0,0.0
168,6313.0,6877.0,7237.0,7719.0,8113.0,76548.0,83521.0,85085.0,86034.0,90379.0,1390.0,1521.0,1548.0,1621.0,1676.0,2.87774526E9,3.034830488E9,3.065849087E9,3.145847019E9,3.415213605E9,9.77656593E8,1.100853493E9,1.117990902E9,1.149977409E9,1.262194627E9,1.7972166E8,2.23325004E8,2.47684253E8,2.68728822E8,3.05664847E8,154.55,14776.7,0.0,0.0,14776.7,0.0,0.0,0.0,0.0
170,5874.0,6841.0,7213.0,7631.0,8124.0,77960.0,83454.0,86089.0,88064.0,91259.0,1329.0,1500.0,1534.0,1618.0,1887.0,2.978622399E9,3.123957921E9,3.173598699E9,3.251466329E9,3.309731886E9,1.058388777E9,1.121239553E9,1.167268894E9,1.199001798E9,1.39227674E9,2.18701428E8,2.60429511E8,2.76536703E8,3.11340747E8,3.59796081E8,156.35,15176.7,0.0,0.0,15176.7,0.0,0.0,0.0,0.0
172,6605.0,7187.0,7452.0,7653.0,8276.0,76063.0,82512.0,84520.0,88925.0,97058.0,1328.0,1446.0,1535.0,1603.0,1633.0,3.144939931E9,3.235648004E9,3.304485868E9,3.47869698E9,3.648016305E9,1.03244506E9,1.135273736E9,1.165968412E9,1.270572789E9,1.491594243E9,1.99244714E8,2.47588135E8,2.82518292E8,3.18628156E8,3.33725248E8,155.35,15253.0,0.0,0.0,15253.0,0.0,0.0,0.0,0.0
174,6187.0,6752.0,7243.0,7568.0,8290.0,79107.0,86336.0,88526.0,89989.0,100018.0,1397.0,1470.0,1547.0,1587.0,1726.0,3.243024609E9,3.336219052E9,3.444262602E9,3.544641074E9,3.692984689E9,1.04654605E9,1.246159839E9,1.272143199E9,1.329753623E9,1.432288594E9,2.2440264E8,2.53150416E8,3.03976403E8,3.28929597E8,3.58973663E8,162.35,15960.05,0.0,0.0,15960.05,0.0,0.0,0.0,0.0
176,6596.0,6843.0,7224.0,7277.0,7858.0,82840.0,86300.0,88689.0,92781.0,96837.0,1422.0,1469.0,1540.0,1648.0,1786.0,3.343763909E9,3.449603664E9,3.503477657E9,3.534410476E9,3.694093196E9,1.120287107E9,1.23570316E9,1.268923225E9,1.320819328E9,1.497387407E9,2.13552495E8,2.65140864E8,2.82729281E8,3.43996111E8,3.90084728E8,162.85,16273.8,0.0,0.0,16273.8,0.0,0.0,0.0,0.0
178,6219.0,6555.0,7186.0,7886.0,8690.0,81771.0,84897.0,90759.0,91840.0,99914.0,1283.0,1485.0,1557.0,1638.0,1762.0,3.423206596E9,3.626896267E9,3.691244711E9,3.782539944E9,4.238694306E9,1.129907271E9,1.22861435E9,1.298513535E9,1.367233126E9,1.526975007E9,2.45473282E8,2.88628304E8,3.13566318E8,3.35282284E8,4.03207282E8,163.45,16440.05,0.0,0.0,16440.05,0.0,0.0,0.0,0.0
180,6578.0,7087.0,7290.0,7535.0,8261.0,83661.0,85761.0,88627.0,92963.0,96794.0,1311.0,1487.0,1564.0,1596.0,1666.0,3.608999053E9,3.744841073E9,3.82223054E9,3.912185873E9,4.093195008E9,1.209163723E9,1.294854985E9,1.318653008E9,1.400903449E9,1.525904147E9,2.57352592E8,2.85128764E8,3.18407015E8,3.4420199E8,3.92983849E8,169.75,16644.15,0.0,0.0,16644.15,0.0,0.0,0.0,0.0
182,6379.0,7135.0,7483.0,7776.0,8103.0,84584.0,87354.0,91014.0,95101.0,99232.0,1320.0,1460.0,1507.0,1627.0,1694.0,3.795117881E9,3.900726372E9,3.951936401E9,4.037518255E9,4.097408634E9,1.238553719E9,1.357162608E9,1.416973012E9,1.520394927E9,1.926115983E9,2.55297689E8,3.08987596E8,3.42712973E8,3.78972555E8,4.604253E8,167.85,17362.65,0.0,0.0,17362.65,0.0,0.0,0.0,0.0
184,6715.0,7041.0,7306.0,7535.0,8346.0,88445.0,90888.0,93787.0,94950.0,97187.0,1338.0,1457.0,1526.0,1605.0,1658.0,4.126731194E9,4.201539183E9,4.319463432E9,4.470985637E9,4.814895788E9,1.389160898E9,1.427129387E9,1.476842184E9,1.587306092E9,1.73614879E9,2.29518237E8,3.04347462E8,3.21378837E8,3.78638294E8,4.42944357E8,173.55,17853.0,0.0,0.0,17853.0,0.0,0.0,0.0,0.0
186,6551.0,7237.0,7602.0,7765.0,8893.0,82768.0,91758.0,93288.0,96171.0,99364.0,1317.0,1447.0,1529.0,1618.0,1750.0,4.232132163E9,4.347180546E9,4.436766768E9,4.596360707E9,4.946447638E9,1.34529359E9,1.431702286E9,1.502868187E9,1.56016853E9,1.711185362E9,3.11401019E8,3.35994929E8,3.68469005E8,4.01160411E8,4.24682778E8,174.55,17974.95,0.0,0.0,17974.95,0.0,0.0,0.0,0.0
188,6501.0,7061.0,7442.0,7676.0,8491.0,88176.0,90479.0,95564.0,97783.0,104551.0,1347.0,1440.0,1491.0,1587.0,1713.0,4.206699161E9,4.43535226E9,4.496867654E9,4.677601355E9,4.872580169E9,1.390109661E9,1.508870458E9,1.574164087E9,1.603261135E9,1.725031369E9,2.8498328E8,3.37526581E8,3.47901673E8,3.93753291E8,4.60078976E8,176.8,18502.05,0.0,0.0,18502.05,0.0,0.0,0.0,0.0
190,6602.0,7176.0,7384.0,7642.0,8114.0,87895.0,92860.0,95745.0,98432.0,102423.0,1393.0,1464.0,1493.0,1570.0,1645.0,4.473138417E9,4.666879036E9,4.694245081E9,4.807233263E9,5.082274322E9,1.459158465E9,1.542384071E9,1.594785902E9,1.677216409E9,1.878253407E9,2.9410568E8,3.34737882E8,3.93290766E8,4.37302102E8,4.98470121E8,180.25,18803.55,0.0,0.0,18803.55,0.0,0.0,0.0,0.0
192,6520.0,7321.0,7413.0,8041.0,8799.0,87336.0,90889.0,95364.0,98359.0,102244.0,1269.0,1486.0,1514.0,1649.0,1713.0,4.475848733E9,4.735815163E9,4.874374407E9,4.976021622E9,5.305850519E9,1.428672878E9,1.509694839E9,1.639157875E9,1.675358357E9,1.871184204E9,2.9811648E8,3.91316899E8,4.27685055E8,4.39977987E8,4.86702724E8,181.5,18818.95,0.0,0.0,18818.95,0.0,0.0,0.0,0.0
194,6675.0,7233.0,7637.0,8219.0,8320.0,84734.0,94696.0,97804.0,100967.0,104593.0,1325.0,1503.0,1558.0,1611.0,1701.0,4.688980984E9,4.814577003E9,4.904587897E9,4.995356868E9,5.684933043E9,1.387092863E9,1.612699317E9,1.645510749E9,1.698338191E9,1.928182053E9,3.31739822E8,3.82350916E8,4.18221264E8,4.48353701E8,5.58873421E8,181.65,19545.0,0.0,0.0,19545.0,0.0,0.0,0.0,0.0
196,6742.0,7365.0,7837.0,8087.0,8596.0,90468.0,95157.0,98084.0,99597.0,105236.0,1364.0,1478.0,1576.0,1632.0,1901.0,4.87003425E9,5.069398944E9,5.242777101E9,5.434322485E9,5.904620029E9,1.434618374E9,1.640147225E9,1.7111826E9,1.813743459E9,2.053763206E9,3.20063525E8,3.95021601E8,4.47459552E8,5.00971685E8,6.149181E8,183.75,19726.05,0.0,0.0,19726.05,0.0,0.0,0.0,0.0
198,6647.0,7276.0,7507.0,7733.0,8870.0,88652.0,97790.0,99269.0,102233.0,105881.0,1389.0,1449.0,1539.0,1608.0,1722.0,5.215211149E9,5.361027923E9,5.517067754E9,5.771752992E9,5.938116853E9,1.606222867E9,1.709776575E9,1.78144488E9,1.850351847E9,2.020913006E9,3.20863078E8,4.29032838E8,4.55191556E8,5.1012922E8,6.19546851E8,189.7,20476.75,0.0,0.0,20476.75,0.0,0.0,0.0,0.0
200,6757.0,7266.0,7583.0,7813.0,8328.0,92530.0,98321.0,99535.0,102520.0,109068.0,1225.0,1465.0,1517.0,1599.0,1663.0,5.348584201E9,5.503675039E9,5.73432311E9,5.924370572E9,6.166609413E9,1.627830249E9,1.770317498E9,1.857232972E9,1.921967467E9,2.080992837E9,3.67143484E8,3.97796576E8,4.49973112E8,4.95335467E8,5.71172497E8,191.0,20695.85,0.0,0.0,20695.85,0.0,0.0,0.0,0.0
202,6457.0,7386.0,7626.0,7821.0,8787.0,95506.0,99218.0,101782.0,103215.0,108087.0,1431.0,1485.0,1542.0,1568.0,1662.0,5.52957197E9,5.730851318E9,5.815962036E9,6.05732173E9,6.362793095E9,1.691844955E9,1.79146382E9,1.863870531E9,1.942293829E9,1.961869784E9,4.37622432E8,4.64091417E8,4.98727306E8,5.29850395E8,6.1197336E8,192.95,21287.5,0.0,0.0,21287.5,0.0,0.0,0.0,0.0
204,6781.0,7415.0,7787.0,8080.0,9049.0,95999.0,96795.0,100440.0,103960.0,108963.0,1399.0,1481.0,1510.0,1548.0,1620.0,5.385887562E9,5.722180867E9,5.791709852E9,6.196378559E9,6.438689088E9,1.720668857E9,1.785501157E9,1.821948164E9,1.923101396E9,2.232798389E9,3.7774531E8,4.74115757E8,4.92564317E8,5.32494741E8,6.1306584E8,192.9,21217.9,0.0,0.0,21217.9,0.0,0.0,0.0,0.0
206,7233.0,7424.0,7714.0,7972.0,8383.0,94343.0,100401.0,102545.0,106518.0,113089.0,1325.0,1436.0,1540.0,1562.0,1661.0,5.678088318E9,5.811409368E9,5.881546907E9,6.107948493E9,6.362832864E9,1.744658949E9,1.845223533E9,1.956034931E9,2.016126362E9,2.156521549E9,3.64521431E8,4.70677796E8,5.18204699E8,5.62377056E8,6.14438039E8,194.6,22082.45,0.0,0.0,22082.45,0.0,0.0,0.0,0.0
208,6521.0,7424.0,7641.0,8074.0,8921.0,97430.0,102526.0,105415.0,108126.0,112007.0,1368.0,1444.0,1476.0,1558.0,1710.0,5.700218383E9,5.956447563E9,6.101491648E9,6.285567128E9,6.968391003E9,1.828442071E9,2.029308396E9,2.103362202E9,2.184317809E9,2.271384797E9,4.2082624E8,4.84407365E8,5.52285345E8,6.03854109E8,6.35384545E8,196.15,22819.15,0.0,0.0,22819.15,0.0,0.0,0.0,0.0
210,7001.0,7788.0,7919.0,8248.0,9009.0,98847.0,102129.0,106470.0,108084.0,110834.0,1340.0,1520.0,1544.0,1604.0,1659.0,6.055658845E9,6.270302868E9,6.415243452E9,6.525911348E9,7.066787311E9,1.874929727E9,1.971784353E9,2.093008786E9,2.176461843E9,2.282831076E9,4.57794823E8,5.06485462E8,5.46382178E8,6.30185806E8,6.7024359E8,197.05,22859.7,0.0,0.0,22859.7,0.0,0.0,0.0,0.0
212,6631.0,7632.0,7923.0,8135.0,8833.0,97624.0,104761.0,106512.0,108803.0,117518.0,1430.0,1499.0,1525.0,1574.0,1711.0,6.253808547E9,6.671694698E9,6.740382994E9,6.878247246E9,7.204946217E9,1.859130587E9,2.070324528E9,2.127941341E9,2.242248583E9,2.402279007E9,4.53012881E8,5.33792774E8,5.54086186E8,6.16263693E8,6.6962002E8,200.9,23351.3,0.0,0.0,23351.3,0.0,0.0,0.0,0.0
214,6891.0,7498.0,7710.0,7921.0,8527.0,101924.0,104343.0,107585.0,110709.0,113829.0,1410.0,1482.0,1551.0,1589.0,1759.0,6.593962431E9,6.734005255E9,6.954516566E9,7.129285566E9,7.416491553E9,2.031332733E9,2.117349206E9,2.237527708E9,2.345126298E9,2.649601303E9,4.45784783E8,5.44484167E8,5.88560187E8,6.3202509E8,7.59710016E8,207.35,24120.2,0.0,0.0,24120.2,0.0,0.0,0.0,0.0
216,7117.0,7532.0,7852.0,8417.0,9777.0,99281.0,104128.0,107225.0,110185.0,117347.0,1388.0,1462.0,1528.0,1649.0,1689.0,6.579393555E9,6.856318768E9,7.000568267E9,7.261765838E9,7.639517818E9,1.997045783E9,2.066841493E9,2.246206723E9,2.357708054E9,2.578170336E9,4.95152393E8,5.49822114E8,6.18111982E8,6.53428598E8,7.59085352E8,204.75,24036.7,0.0,0.0,24036.7,0.0,0.0,0.0,0.0
218,7144.0,7534.0,8019.0,8517.0,8897.0,100514.0,107062.0,110273.0,111598.0,118371.0,1296.0,1462.0,1532.0,1565.0,1633.0,6.720578621E9,6.985258438E9,7.190581171E9,7.392035069E9,8.223773178E9,1.998054273E9,2.270115938E9,2.331240616E9,2.431045507E9,2.575227634E9,4.51124632E8,5.5165477E8,6.42031127E8,6.91350986E8,8.42004739E8,209.2,24735.7,0.0,0.0,24735.7,0.0,0.0,0.0,0.0
220,7169.0,7796.0,7986.0,8782.0,9426.0,103310.0,106645.0,108710.0,110003.0,114726.0,1338.0,1415.0,1491.0,1624.0,1666.0,6.880372047E9,7.163712877E9,7.277366252E9,7.552580932E9,7.589371284E9,2.137416607E9,2.265359721E9,2.349423271E9,2.43510849E9,2.791377789E9,5.64332514E8,6.10050128E8,6.4979996E8,7.26781169E8,8.28432435E8,207.7,24880.45,0.0,0.0,24880.45,0.0,0.0,0.0,0.0
222,6669.0,7917.0,8118.0,8308.0,9166.0,100909.0,109475.0,112212.0,114070.0,116265.0,1347.0,1490.0,1543.0,1569.0,1674.0,7.149700749E9,7.549097049E9,7.831072945E9,8.118822601E9,9.991713629E9,2.066881815E9,2.320677779E9,2.383503083E9,2.531806443E9,2.850724858E9,5.02317067E8,5.96743202E8,6.71542923E8,7.30013909E8,7.5263451E8,213.4,25501.55,0.0,0.0,25501.55,0.0,0.0,0.0,0.0
224,6951.0,7626.0,7975.0,8343.0,9051.0,102904.0,109828.0,112180.0,115543.0,117937.0,1288.0,1452.0,1490.0,1569.0,1669.0,7.503870433E9,7.700524813E9,7.830597616E9,8.19206089E9,8.577366496E9,2.210544127E9,2.409710695E9,2.455939469E9,2.518936271E9,2.807955757E9,4.89479399E8,6.72305635E8,7.16473741E8,7.5283723E8,8.09117256E8,218.15,25841.35,0.0,0.0,25841.35,0.0,0.0,0.0,0.0
