n,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedswapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,swap4swap,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
50,2397.0,3664.0,4123.0,4676.0,5787.0,21592.0,23478.0,25816.0,26735.0,29414.0,1277.0,1379.0,1568.0,1731.0,1816.0,6.4634179E7,6.8573657E7,7.4483143E7,8.4242737E7,9.3996667E7,1.61305117E8,2.25704957E8,2.45504247E8,3.04695778E8,3.40355512E8,3359929.0,4595944.0,5149428.0,5794978.0,1.8153839E7,38.5,1436.15,0.0,0.0,1436.15,0.0,0.0,0.0,0.0
52,3052.0,3771.0,4275.0,4637.0,5145.0,22541.0,24360.0,25818.0,27396.0,30429.0,1248.0,1490.0,1609.0,1723.0,2046.0,7.0499809E7,7.7310917E7,7.9413722E7,8.8808621E7,9.4800137E7,1.69389835E8,2.1926123E8,2.4557924E8,2.71411833E8,3.12839218E8,4172987.0,5140370.0,5433070.0,6386670.0,6959418.0,40.25,1511.6,0.0,0.0,1511.6,0.0,0.0,0.0,0.0
54,3495.0,4083.0,4325.0,4648.0,5473.0,23903.0,25504.0,26396.0,27055.0,30213.0,1295.0,1536.0,1577.0,1687.0,1887.0,8.2724912E7,8.6448755E7,8.9876928E7,9.4405628E7,1.06021239E8,2.08059278E8,2.50551522E8,2.73587091E8,3.04815238E8,3.63046525E8,4331137.0,5589297.0,6155598.0,7247122.0,1.6740417E7,41.3,1637.95,0.0,0.0,1637.95,0.0,0.0,0.0,0.0
56,3511.0,4076.0,4332.0,4614.0,5221.0,24850.0,27223.0,27678.0,29257.0,30890.0,1293.0,1370.0,1471.0,1600.0,1938.0,9.0788143E7,9.5546511E7,1.00908028E8,1.14385289E8,1.67864354E8,1.52586596E8,2.46554861E8,2.56827806E8,3.19524729E8,3.89655177E8,4450313.0,5640066.0,6672159.0,7729841.0,1.3276396E7,43.3,1788.25,0.0,0.0,1788.25,0.0,0.0,0.0,0.0
58,3488.0,3822.0,4382.0,4771.0,5961.0,25403.0,26728.0,29694.0,30649.0,33755.0,1359.0,1436.0,1564.0,1704.0,1788.0,1.00519947E8,1.05804679E8,1.11397693E8,1.18501598E8,1.36779025E8,1.97227784E8,2.48362946E8,2.87654408E8,3.27899901E8,3.93062862E8,4935974.0,6870123.0,8090580.0,8440659.0,1.0197466E7,45.35,1922.9,0.0,0.0,1922.9,0.0,0.0,0.0,0.0
60,3145.0,4139.0,4570.0,4990.0,5370.0,23093.0,29265.0,30596.0,31640.0,33892.0,1229.0,1388.0,1547.0,1671.0,1804.0,1.0862671E8,1.15372591E8,1.2252331E8,1.2675927E8,1.50994531E8,1.93019203E8,2.62390462E8,3.06679206E8,3.37159054E8,3.79042787E8,5053216.0,7330443.0,8326110.0,9900393.0,2.0573838E7,45.4,2061.55,0.0,0.0,2061.55,0.0,0.0,0.0,0.0
62,3604.0,4361.0,4473.0,4779.0,5000.0,27499.0,29714.0,30521.0,31640.0,35266.0,1215.0,1414.0,1490.0,1556.0,1827.0,1.28079668E8,1.34051377E8,1.42532951E8,1.46752254E8,1.89493503E8,1.99346442E8,2.36671815E8,2.60304224E8,2.90963809E8,3.41162009E8,6448024.0,8459034.0,9319345.0,1.0686624E7,1.3706265E7,48.35,2145.7,0.0,0.0,2145.7,0.0,0.0,0.0,0.0
64,3692.0,4235.0,4729.0,4949.0,5681.0,27393.0,30136.0,31242.0,32318.0,36156.0,1338.0,1455.0,1651.0,1717.0,1914.0,1.39158203E8,1.43316179E8,1.53749405E8,1.6284493E8,1.82854714E8,2.48813624E8,2.75948495E8,3.06573356E8,3.34289789E8,4.03362601E8,6351260.0,9930686.0,1.0779387E7,1.2117901E7,2.2938771E7,48.65,2316.7,0.0,0.0,2316.7,0.0,0.0,0.0,0.0
66,3847.0,4414.0,4608.0,4985.0,5462.0,30600.0,32207.0,32975.0,34090.0,35182.0,1335.0,1495.0,1569.0,1633.0,1831.0,1.53988676E8,1.58516685E8,1.62699022E8,1.73944121E8,1.92774321E8,2.50842867E8,2.86577208E8,3.01823149E8,3.22177062E8,3.46236186E8,7621495.0,9898124.0,1.2105053E7,1.3308937E7,2.524958E7,51.6,2497.1,0.0,0.0,2497.1,0.0,0.0,0.0,0.0
68,3888.0,4446.0,4785.0,5171.0,5643.0,30228.0,32304.0,34654.0,35576.0,38417.0,1254.0,1484.0,1560.0,1752.0,1829.0,1.66481364E8,1.75818675E8,1.85111026E8,1.97346921E8,2.19812707E8,2.28154606E8,3.10024488E8,3.3468777E8,3.79258063E8,4.19863884E8,8688016.0,1.1573752E7,1.271975E7,1.3480472E7,2.3997718E7,54.0,2665.5,0.0,0.0,2665.5,0.0,0.0,0.0,0.0
