m,n,minGiftSolverflowtime,openGiftSolverflowtime,meanGiftSolverflowtime,closedGiftSolverflowtime,maxGiftSolverflowtime,minDistributedGiftSolverflowtime,openDistributedGiftSolverflowtime,meanDistributedGiftSolverflowtime,closedDistributedGiftSolverflowtime,maxDistributedGiftSolverflowtime,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirm4gift,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirm4swap,nbInform4swap
58,290,4542.0,4720.0,4854.0,5022.0,5187.0,4542.0,4720.0,4854.0,5022.0,5187.0,4542.0,4720.0,4854.0,5022.0,5187.0,4542.0,4720.0,4854.0,5022.0,5187.0,139692.0,141727.0,144654.0,145729.0,151470.0,1.036843489E9,1.062265816E9,1.079138982E9,1.103220054E9,1.605859237E9,1.93323706E8,2.35230412E8,3.06037581E8,4.32140917E8,6.63038331E8,7.607274662E9,7.78630174E9,7.898644674E9,8.104112198E9,8.498313574E9,2.53857447E8,3.04543041E8,3.66945646E8,4.53201502E8,5.65034163E8,7.8911915E7,7.9702864E7,8.0353031E7,8.1918598E7,1.33610405E8,5455405.0,5789766.0,5987402.0,6987400.0,2.6845828E7,1225117.0,1302450.0,1358893.0,1302450.0,8992598.0,284.4,384.9,194.55,653.4,0.0,479.3,171.55,193.75,284.95,0.0,709.05,0.0,502.6,203.2,216.9,285.0,0.0
60,300,4386.0,4593.0,4716.0,5066.0,5223.0,4386.0,4593.0,4716.0,5066.0,5223.0,4386.0,4593.0,4716.0,5066.0,5223.0,4386.0,4593.0,4716.0,5066.0,5223.0,142913.0,147477.0,149730.0,151609.0,161232.0,1.144779856E9,1.189453302E9,1.205969509E9,1.226286727E9,1.255704373E9,1.91557712E8,2.40432377E8,3.13944813E8,4.03934371E8,8.39237705E8,8.418334108E9,8.695930057E9,8.840838641E9,8.995762975E9,9.116163405E9,2.44629154E8,3.39035138E8,3.91292748E8,4.30553516E8,7.38550483E8,8.1929315E7,8.3306579E7,8.3503229E7,8.4008048E7,9.0720856E7,4402207.0,5501005.0,5738186.0,5847337.0,9565657.0,1166772.0,1253890.0,1282673.0,1253890.0,1522213.0,295.2,399.15,199.75,672.4,0.0,495.05,176.2,199.3,295.2,0.0,715.9,0.0,518.9,195.05,223.95,294.3,0.0
62,310,4320.0,4553.0,4720.0,5049.0,5255.0,4320.0,4553.0,4720.0,5049.0,5255.0,4320.0,4553.0,4720.0,5049.0,5255.0,4320.0,4553.0,4720.0,5049.0,5255.0,145770.0,151941.0,155512.0,158805.0,163040.0,1.280518322E9,1.309229114E9,1.317865095E9,1.334269312E9,1.350299227E9,1.80388467E8,2.93652846E8,3.37705986E8,3.85960626E8,6.29487456E8,9.298033707E9,9.769132511E9,9.995571502E9,1.011710538E10,1.0445561931E10,1.92845706E8,2.93403729E8,4.08719159E8,4.69799338E8,6.77304393E8,8.7839424E7,8.8563412E7,8.9562141E7,9.0442075E7,9.5919945E7,5724518.0,5904025.0,6143180.0,6920287.0,8067792.0,1235192.0,1293249.0,1359184.0,1293249.0,2549056.0,304.65,418.1,209.05,671.0,0.0,507.05,161.2,201.75,304.75,0.0,735.8,0.0,539.95,193.2,234.55,304.7,0.0
64,320,4297.0,4537.0,4795.0,4928.0,5099.0,4297.0,4537.0,4795.0,4928.0,5099.0,4297.0,4537.0,4795.0,4928.0,5099.0,4297.0,4537.0,4795.0,4928.0,5099.0,144561.0,155983.0,159532.0,163021.0,168596.0,1.426286546E9,1.445360078E9,1.46764149E9,1.482322774E9,1.551833522E9,2.27210696E8,2.83743967E8,3.77273518E8,4.92321459E8,7.15375258E8,1.0393050433E10,1.0674786404E10,1.0853622335E10,1.0960161693E10,1.1451168802E10,1.80170956E8,3.22769973E8,4.09788153E8,4.53455572E8,6.94771221E8,9.2697522E7,9.3355249E7,9.3876712E7,9.4428317E7,9.5864693E7,4695311.0,6068273.0,6147059.0,6280360.0,6374740.0,1342651.0,1386097.0,1410672.0,1386097.0,1611975.0,315.3,433.0,219.2,751.0,0.0,541.8,204.65,225.65,315.15,0.0,768.25,0.0,551.15,214.25,235.9,314.3,0.0
