m,n,minexhaustiveSolverflowtime,openexhaustiveSolverflowtime,meanexhaustiveSolverflowtime,closedexhaustiveSolverflowtime,maxexhaustiveSolverflowtime,mingiftSolverflowtime,opengiftSolverflowtime,meangiftSolverflowtime,closedgiftSolverflowtime,maxgiftSolverflowtime,minswapSolverflowtime,openswapSolverflowtime,meanswapSolverflowtime,closedswapSolverflowtime,maswapSolverflowtime,minlcSolverflowtime,openlcSolverflowtime,meanlcSolverflowtime,closedlcSolverflowtime,maxlcSolverflowtime
2,8,63.5,99.25,112.125,124.125,161.875,63.875,99.25,114.375,130.0,161.875,63.5,99.25,112.125,124.125,161.875,70.5,107.125,126.125,146.125,188.625
3,8,40.625,78.125,81.625,92.25,116.25,40.875,80.5,86.625,94.125,116.875,40.625,78.125,81.625,92.25,117.875,43.625,85.75,88.25,109.0,140.75
4,8,40.125,61.5,73.625,78.625,104.75,40.125,64.0,75.875,80.75,107.75,40.125,61.625,74.125,78.625,105.75,45.25,72.75,84.625,102.25,140.625
5,8,37.125,58.0,68.375,75.0,102.75,40.375,59.5,70.0,79.0,102.75,37.75,58.0,69.0,75.625,103.0,47.375,60.25,80.5,89.125,123.375
6,8,32.25,51.375,59.875,64.375,80.375,32.75,52.125,61.625,67.125,80.875,32.5,51.5,60.125,64.5,80.375,46.5,56.125,73.875,84.5,139.375
